"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NReproduction_Gonadotropin regulation",0.389540535188402,0.04,0.174009282399143,"2560;117;5740;7434;1437;1759;2852;2557;10468;4843;5742;4216;3164;815;2002;5600;5321;2770;5602;2564;775;3554;5609;6714;5743;801;2767;5592;5595;8536;2917;5579;6464;2778;207;5573;408;2918;5578;3553;652;5566;10014","Gonadotropin regulation"
"NProliferation_Positive regulation cell proliferation",0.385838797646883,0.04,0.174009282399143,"1238;2247;6320;1435;1464;1437;80781;150;2817;5575;9846;3479;863;3590;2260;2277;5764;246;6886;238;3082;2770;9564;4921;8829;2322;7076;2012;1441;6714;7041;864;5743;2767;3589;3976;2239;5595;975;3561;3480;4609;6464;2323;4638;4004;207;5573;408;8660;3611;7422;2771;8817;5566;3688","Positive regulation cell proliferation"
"NReproduction_GnRH signaling pathway",0.408340431796886,0.0600000000000001,0.226136715125271,"2560;117;5740;7434;1437;2852;773;2557;4843;5742;4216;2002;5600;5321;2770;5602;2564;3554;6714;5743;801;2767;5592;5595;8536;2917;5579;6464;2778;207;5573;408;2918;5578;3553","GnRH signaling pathway"
"NInflammation_Kallikrein-kinin system",0.417840673748263,0.0600000000000001,0.226136715125271,"623;7512;5740;290;710;1803;5327;773;4311;4843;5054;5742;624;2153;2002;5600;5321;2770;5340;718;6714;59272;5743;2767;2147;5595;5328;4794;5747;2790;2778","Kallikrein-kinin system"
"NTranslation_Regulation of initiation",-0.224693945637087,0.06,0.226136715125271,"8669;4214;3476;6655;6198;3315;5603;8661;5291;5295;6885","Regulation of initiation"
"NImmune response_BCR pathway",-0.232276354079712,0.06,0.226136715125271,"4775;1958;5336;3551;1386;4214;27071;6198;4067;3708;3725;5291;118788;5295;10725;695;6885","BCR pathway"
"NImmune response_T helper cell differentiation",0.410986574605394,0.0600000000000001,0.226136715125271,"7100;4776;4094;3570;3595;112744;3592;7535;958;27040;3702;3932;4772;6772;4216;3569;23643;3559;2002;5600;5602;919;864;801;6778;940;50615;30009;3561;3937;6850;4773;920;2534;941","T helper cell differentiation"
"NDevelopment_Hemopoiesis, Erythropoietin pathway",-0.232526382701498,0.06,0.226136715125271,"2353;1027;6654;6776;9252;890;2057;3551;3815;1386;5921;5063;6655;9134;4067;5603;3708;3725;3709;5291;5295;695","Hemopoiesis, Erythropoietin pathway"
"NProliferation_Lymphocyte proliferation",0.395525205062521,0.0600000000000001,0.226136715125271,"921;970;8764;53833;6387;3595;3592;7535;3560;29851;958;9466;916;4772;6772;4216;1947;10000;3559;2000;5602;919;3566;84876;9046;896;5609;801;6778;940;939;3588;5595;50615;7409;6352;894;975;3561;208;4794;8717;6464;3937;6850;207;5578;7187;2534;941","Lymphocyte proliferation"
"NCytoskeleton_Regulation of cytoskeleton rearrangement",0.378707768807685,0.0600000000000001,0.226136715125271,"113457;2775;2318;347733;89;2934;150;3984;6387;10395;2316;397;8910;1674;51807;1627;57381;7791;1264;7846;5347;118;89846;2770;9564;7454;960;2245;6714;6443;10381;58;88;5592;5595;7431;7409;5747;50855;2778;7456;4638","Regulation of cytoskeleton rearrangement"
"NImmune response_Phagosome in antigen presentation",-0.207986609006535,0.06,0.226136715125271,"4067;5603;3708;3684;6093;54536;3326;5291;5295;2209;5217;2208;695;3320","Phagosome in antigen presentation"
"NDevelopment_EMT_Regulation of epithelial-to-mesenchymal transition",0.373383938208297,0.0600000000000001,0.226136715125271,"2247;9241;1277;4313;1281;2303;59;2335;5159;90;5156;2246;80310;9846;7048;7291;8321;655;51176;1000;1674;4015;2260;4843;5054;4772;6772;6615;50507;6935;2002;5155;3082;5600;2770;9564;5602;1535;3554;5609;9076;6714;7041;5743;2767;58","EMT"
"NRegulation of metabolism_Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration",0.437566319511788,0.0800000000000001,0.266630196936543,"348;5465;51360;2203;5360;118;10062;2931","Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration"
"NTransport_Manganese transport",0.446346335879936,0.0800000000000001,0.266630196936543,"7352;7512;8532;7223;8460;4907;6507;2683;162466;9647;55748;5621;2902;8459;383;8654;6546;5516;26229","Manganese transport"
"NCell cycle_G2-M",-0.219075175689593,0.08,0.266630196936543,"2305;996;7709;7314;4085;28996;672;84126;6950;63967;1164;54984;10733;3054;7316;11200;10270;51512;890;10592;901;51434;114799;10111;8556;5921;699;7020;5603;4751;5888;3364;7150;4691;3832;2177;26271;6885","G2-M"
"NInflammation_Protein C signaling",0.418057640339882,0.1,0.30607887465461,"89;3984;2149;5327;2768;1902;4843;5054;2153;3569;5627;2770;5340;6714;58;2147;88;2150;5595;5328;4794;5747;207;7056;3553","Protein C signaling"
"NCell adhesion_Attractive and repulsive receptors",0.364103918256653,0.1,0.30607887465461,"113457;1277;347733;3678;2335;3984;2042;1305;6586;3956;9037;971;9353;219699;51807;8828;9379;2041;1947;1282;7373;91584;7846;8997;6092;8829;2048;6714;10381;58;284217;4684;64780;23129;1946;6237;5747;6464;3683;10371;7412;2534;3384;5566;3688;1808;1072;80031","Attractive and repulsive receptors"
"NCell cycle_G0-G1",-0.245397343747006,0.12,0.346246744020839,"5036;5932;1027;5618;1958;999;50486;5617;1024;4194;5925;1021","G0-G1"
"NSignal transduction_CREM pathway",-0.202553587557459,0.12,0.346246744020839,"2353;2117;7316;890;1386;1387;148327;1385;7421;154;10725;3948","CREM pathway"
"NImmune response_Th17-derived cytokines",0.411775163951815,0.12,0.346246744020839,"6356;6354;6347;1437;6387;4314;6280;112744;4843;6364;6772;6279;3569;5600;5602;7076;4322;5743;23765;3588;1050;4609;207;9021;3553;6372","Th17-derived cytokines"
"NInflammation_NK cell cytotoxicity",0.385452350744713,0.12,0.346246744020839,"2205;1437;3595;3592;7535;3560;27040;5551;3932;4843;914;916;10870;4772;6772;962;919;4000;3005;801;3824;5595;3561;5521;4794;6464;3937;3683;6850;4773;5578;2534;842;3384","NK cell cytotoxicity"
"NCytoskeleton_Macropinocytosis and its regulation",0.392932186739215,0.14,0.378332224440009,"113457;1435;347733;5159;3984;5156;51807;7846;5155;3082;1487;7454;83871;10381;7409;5747;6464;7456;207;5216;8660","Macropinocytosis and its regulation"
"NProteolysis_Proteolysis in cell cycle and apoptosis",0.169556268787242,0.14,0.378332224440009,"1513;1512;23621;246184;1508;64682;9040;1509;26190;23385;64129;26270;51433;2873;842;50813;351;81502;55851;84231","Proteolysis in cell cycle and apoptosis"
"NMuscle contraction_Relaxin signaling",0.426165197819067,0.16,0.409751996637243,"2775;4313;8622;59350;117579;4843;3569;1910;2770;4322;6714;2201;5592;6464;2778;207;5573;3553;111;7422;5566;112","Relaxin signaling"
"NSignal transduction_ESR2 pathway",0.158951051642321,0.16,0.409751996637243,"4776;118;5600;6714;801;29893;27043;6464;2778;207;2950;7422;5914;5536;5604;5605;10273","ESR2 pathway"
"NInflammation_IL-2 signaling",-0.232198417158724,0.16,0.409751996637243,"2353;6776;4775;5336;3551;1386;597;2099;6198;3708;3725;5925;5291;5295;10725;5582","IL-2 signaling"
"NReproduction_Feeding and Neurohormone signaling ",0.354617057557583,0.16,0.409751996637243,"1238;2775;6590;3486;5066;64506;2690;1447;7048;2683;3479;6866;3590;5054;2217;3569;8611;815;2002;2770;283869;5744;960;775;896;6714;8613;801;2767;284217;2118;3589;1509;2896;687;5595;3915;894;2054;4609;5747;6464;2778;1978;3683;207;5573;5578;7040;3553","Feeding and Neurohormone signaling "
"NNeurophysiological process_Taste signaling",0.625327433555119,0.18,0.440156532209512,"24145;5029;80834;22953","Taste signaling"
"NNeurophysiological process_Visual perception",0.444229856583067,0.18,0.440156532209512,"8787;4094;1545;1381;407;4647;24;1258;3983;5147;801;145226;3241;6094;2918;5566;23596;6017;1429;51109","Visual perception"
"NApoptosis_Anti-Apoptosis mediated by external signals by Estrogen",-0.187912369423181,0.18,0.440156532209512,"332;23236;2099;4217;3725;1385;5295;5582","Anti-Apoptosis mediated by external signals by Estrogen"
"NInflammation_IFN-gamma signaling",0.186057916148183,0.18,0.440156532209512,"3592;4843;5054;6772;4216;10000;815;5600;6714;3676;801;6352;60312;4609;208;4794;3683;207;5578","IFN-gamma signaling"
"NCell cycle_G1-S Interleukin regulation",-0.190755638292434,0.18,0.440156532209512,"2353;1027;6654;6776;890;3551;1386;4214;6655;6198;3725;5925;5291;1021;5295;6885","G1-S Interleukin regulation"
"NDevelopment_Regulation of angiogenesis",0.343314924864481,0.18,0.440156532209512,"1238;4313;290;6347;4915;633;112744;2697;7048;9037;6678;4323;1000;283;4843;5054;51360;1285;6772;2041;1947;22937;3569;6935;1910;118;2770;5340;3554;6608;9046;6714;3676;1508;2767;3679;5595;7026;2736;4609;1946;1490;6464;207;2022;5578;3553;7422","Regulation of angiogenesis"
"NDNA damage_Core",-0.28133822546514,0.2,0.469466384126373,"4683;672;84126;7158;11200;5981;10111;3364","Core"
"NImmune response_IL-5 signalling",-0.272255395665432,0.2,0.469466384126373,"4067;3725;5295;695","IL-5 signalling"
"NApoptosis_Apoptotic mitochondria",0.160298648368807,0.2,0.469466384126373,"10572;8844;1509;1603;2745;7009;8739;664;207;572;3958;56616;9927;581;10922;57019;7532;7533;64112;9616;598;665","Apoptotic mitochondria"
"NTransport_Bile acids transport and its regulation",0.520892912149377,0.22,0.494320486815416,"221357;5244;2052;8714;6579;5914","Bile acids transport and its regulation"
"NSignal transduction_ERBB-family signaling",-0.210179365928483,0.22,0.494320486815416,"1839;685;5921;2069;374;3725;2065;5295;5582","ERBB-family signaling"
"NApoptosis_Endoplasmic reticulum stress pathway",-0.184722977952971,0.22,0.494320486815416,"1649;7184;2353;9451;3309;1983;4217;3708;8661;317;148327;3725","Endoplasmic reticulum stress pathway"
"NInflammation_IL-6 signaling",0.213074810959269,0.22,0.494320486815416,"2335;3570;10401;4843;3569;10000;2002;7024;718;5595;3039;1050;4609;208;4794;6464;207;572;9021;581;5604;5296;5605;7532;1051;7249;7533;1026;8651;7529;3572;3265;6868;5970;5781;5293","IL-6 signaling"
"NCardiac development_Role of NADPH oxidase and ROS",0.184911260258621,0.22,0.494320486815416,"2303;8854;27295;2697;4843;4772;6615;50507;118;1535;4487;2931;6714;5915;5595;2736;5747;7248;4773;207","Role of NADPH oxidase and ROS"
"NInflammation_IL-12,15,18 signaling",-0.259211198291312,0.24,0.514225426411113,"2353;6776;3551;1386;3594;3725;1385;6885","IL-12,15,18 signaling"
"NAutophagy_Autophagy",-0.182472443194893,0.26,0.539067551471839,"5290;9140;7099;5170;7098;10333;55626;8408;5289;22863;9821;5295","Autophagy"
