"","chromosome","start","end","sampleFrequency","gainFrequency","lossFrequency","gainProportion","lossProportion"
"63","chr2",385786,385860,31,0,0,0,0
"64","chr2",385861,386163,31,0,0,0,0
"65","chr18",350716,392695,31,0,0,0,0
"66","chr18",392696,393595,31,0,0,0,0
"67","chr2",386164,397695,30,0,0,0,0
"68","chr19",369799,406821,31,2,3,0.0645161290322581,0.0967741935483871
"69","chr19",406822,408953,31,2,2,0.0645161290322581,0.0645161290322581
"70","chr18",393596,411943,31,1,0,0.032258064516129,0
"71","chr14",322,413287,31,0,0,0,0
"72","chr7",794,413609,31,0,0,0,0
"73","chr18",411944,416625,31,0,0,0,0
"74","chr18",416626,416700,31,0,0,0,0
"75","chr18",416701,417000,31,0,0,0,0
"76","chr18",417001,429822,31,0,0,0,0
"77","chr18",429823,436708,31,0,0,0,0
"78","chr19",408954,442998,31,1,2,0.032258064516129,0.0645161290322581
"79","chr10",1186,445012,31,0,0,0,0
"80","chr10",445013,445022,30,0,0,0,0
"81","chr18",436709,448162,31,0,1,0,0.032258064516129
"82","chr20",360734,452023,31,0,0,0,0
"83","chr19",442999,454385,31,0,1,0,0.032258064516129
"84","chr12",322,466077,31,0,0,0,0
"85","chr12",466078,466952,30,0,0,0,0
"86","chr10",445023,476756,31,0,1,0,0.032258064516129
"87","chr14",413288,480648,31,0,3,0,0.0967741935483871
"88","chr17",340404,481675,31,0,0,0,0
"89","chr18",448163,486753,31,0,1,0,0.032258064516129
"90","chr10",476757,489151,31,0,2,0,0.0645161290322581
"91","chr10",489152,491742,31,0,6,0,0.193548387096774
"92","chr10",491743,494888,13,0,6,0,0.193548387096774
"93","chr10",494889,494963,26,0,9,0,0.290322580645161
"94","chr10",494964,501227,28,0,9,0,0.290322580645161
"95","chr20",452024,504623,31,23,0,0.741935483870968,0
"96","chr20",504624,504716,31,19,4,0.612903225806452,0.129032258064516
"97","chr10",501228,509437,31,0,12,0,0.387096774193548
"98","chr10",509438,509628,31,0,8,0,0.258064516129032
"99","chr17",481676,514296,31,0,0,0,0
"100","chr20",504717,520029,31,23,0,0.741935483870968,0
"101","chr2",397696,520145,31,0,0,0,0
"102","chr20",520030,521314,31,20,0,0.645161290322581,0
"103","chr20",521315,521973,31,9,0,0.290322580645161,0
"104","chr20",521974,525178,31,3,0,0.0967741935483871,0
"105","chr12",466953,525471,31,0,0,0,0
"106","chr20",525179,525928,31,1,0,0.032258064516129,0
"107","chr7",413610,526236,31,0,0,0,0
"108","chr18",486754,541442,31,0,0,0,0
"109","chr6",126157,608573,31,0,0,0,0
"110","chr6",608574,609403,31,14,0,0.451612903225806,0
"111","chr16",17697,623580,31,0,0,0,0
"112","chr12",525472,635275,31,0,0,0,0
"113","chr12",635276,635950,31,0,0,0,0
"114","chr16",623581,638245,30,0,0,0,0
"115","chr20",525929,653822,31,0,0,0,0
"116","chr10",509629,656197,31,0,0,0,0
"117","chr20",653823,656202,31,3,0,0.0967741935483871,0
"118","chr20",656203,656279,31,4,0,0.129032258064516,0
"119","chr10",656198,657111,31,0,0,0,0
"120","chr12",635951,659584,31,0,0,0,0
"121","chr20",656280,660734,31,2,0,0.0645161290322581,0
"122","chr20",660735,660959,31,3,0,0.0967741935483871,0
"123","chr20",660960,661034,31,4,0,0.129032258064516,0
"124","chr20",661035,662961,31,16,0,0.516129032258065,0
"125","chr20",662962,665321,31,11,0,0.354838709677419,0
"126","chr20",665322,665471,31,8,0,0.258064516129032,0
"127","chr20",665472,665546,31,2,0,0.0645161290322581,0
"128","chr14",480649,670016,31,0,6,0,0.193548387096774
"129","chr14",670017,693411,31,0,6,0,0.193548387096774
"130","chr14",693412,726156,31,0,11,0,0.354838709677419
"131","chr12",659585,731196,31,0,0,0,0
"132","chr12",731197,731796,31,0,0,0,0
"133","chr6",609404,736039,31,0,0,0,0
"134","chr6",736040,736114,31,0,1,0,0.032258064516129
"135","chr6",736115,736264,31,0,4,0,0.129032258064516
"136","chr6",736265,736339,31,0,8,0,0.258064516129032
"137","chr6",736340,736414,31,0,12,0,0.387096774193548
"138","chr6",736415,739971,31,0,13,0,0.419354838709677
"139","chr6",739972,740646,31,0,12,0,0.387096774193548
"140","chr14",726157,741252,31,0,19,0,0.612903225806452
"141","chr16",638246,745840,31,0,0,0,0
"142","chr14",741253,748285,31,0,13,0,0.419354838709677
"143","chr14",748286,748360,31,0,10,0,0.32258064516129
"144","chr14",748361,748737,31,0,8,0,0.258064516129032
"145","chr14",748738,748812,31,0,2,0,0.0645161290322581
"146","chr10",657112,760968,31,0,0,0,0
"147","chr16",745841,762124,31,0,0,0,0
"148","chr16",762125,780185,31,0,0,0,0
"149","chr8",510,780695,31,0,0,0,0
"150","chr20",665547,781658,31,0,0,0,0
"151","chr20",781659,781958,31,2,0,0.0645161290322581,0
"152","chr20",781959,782033,31,3,0,0.0967741935483871,0
"153","chr20",782034,782183,31,4,0,0.129032258064516,0
"154","chr20",782184,782771,31,5,0,0.161290322580645,0
"155","chr8",780696,783076,31,1,0,0.032258064516129,0
"156","chr12",731797,783500,31,0,0,0,0
"157","chr6",740647,784057,31,0,0,0,0
"158","chr20",782772,784759,31,12,0,0.387096774193548,0
"159","chr6",784058,785032,31,14,0,0.451612903225806,0
"160","chr20",784760,791693,31,18,0,0.580645161290323,0
"161","chr20",791694,794211,31,10,0,0.32258064516129,0
"162","chr20",794212,794392,31,8,0,0.258064516129032,0
"163","chr20",794393,794607,31,6,0,0.193548387096774,0
"164","chr20",794608,794682,31,5,0,0.161290322580645,0
"165","chr20",794683,794997,31,2,0,0.0645161290322581,0
"166","chr20",794998,795523,31,2,0,0.0645161290322581,0
"167","chr20",795524,796577,31,1,0,0.032258064516129,0
"168","chr20",796578,814764,31,0,0,0,0
"169","chr20",814765,815332,31,10,0,0.32258064516129,0
"170","chrX",598,868985,31,0,0,0,0
"171","chr1",987,933349,31,0,0,0,0
"172","chr12",783501,965610,31,0,0,0,0
"173","chr7",526237,996013,31,0,0,0,0
"174","chr18",541443,1045448,31,0,0,0,0
"175","chr20",815333,1071694,31,0,0,0,0
"176","chr18",1045449,1073051,31,0,0,0,0
"177","chr18",1073052,1073534,30,0,0,0,0
"178","chr17",514297,1082960,31,0,0,0,0
"179","chr17",1082961,1085821,31,1,0,0.032258064516129,0
"180","chr7",996014,1086740,31,0,0,0,0
"181","chr17",1085822,1088827,31,1,0,0.032258064516129,0
"182","chr17",1088828,1094228,31,0,0,0,0
"183","chr1",933350,1103291,31,0,0,0,0
"184","chr1",1103292,1104264,31,0,3,0,0.0967741935483871
"185","chr16",780186,1104637,31,0,0,0,0
"186","chr1",1104265,1115154,31,0,3,0,0.0967741935483871
"187","chrX",868986,1120480,31,0,0,0,0
"188","chr1",1115155,1132556,31,0,0,0,0
"189","chr9",501,1134010,31,0,0,0,0
"190","chr1",1132557,1135969,31,0,1,0,0.032258064516129
"191","chr1",1135970,1136301,31,0,2,0,0.0645161290322581
"192","chr1",1136302,1139531,31,0,3,0,0.0967741935483871
"193","chr1",1139532,1139922,31,0,3,0,0.0967741935483871
"194","chr1",1139923,1140163,31,0,1,0,0.032258064516129
"195","chr1",1140164,1149440,31,0,0,0,0
"196","chr1",1149441,1151738,31,0,2,0,0.0645161290322581
"197","chr1",1151739,1153899,31,0,2,0,0.0645161290322581
"198","chr20",1071695,1161878,31,0,0,0,0
"199","chr20",1161879,1162879,31,9,0,0.290322580645161,0
"200","chr1",1153900,1163606,31,0,3,0,0.0967741935483871
"201","chr1",1163607,1172103,31,0,3,0,0.0967741935483871
"202","chr20",1162880,1172808,31,12,0,0.387096774193548,0
"203","chr5",34651,1178749,31,0,0,0,0
"204","chr5",1178750,1178920,31,0,5,0,0.161290322580645
"205","chr7",1086741,1179415,31,0,0,0,0
"206","chr5",1178921,1179614,31,0,7,0,0.225806451612903
"207","chr6",785033,1210079,31,0,0,0,0
"208","chr1",1172104,1214418,31,0,3,0,0.0967741935483871
"209","chr12",965611,1242041,31,0,0,0,0
"210","chr12",1242042,1245970,31,0,0,0,0
"211","chr2",520146,1275835,31,0,0,0,0
"212","chr20",1172809,1284340,31,0,0,0,0
"213","chr20",1284341,1285364,31,0,9,0,0.290322580645161
"214","chr20",1285365,1286238,31,0,11,0,0.354838709677419
"215","chr20",1286239,1286313,31,0,4,0,0.129032258064516
"216","chr2",1275836,1307273,31,0,0,0,0
"217","chr3",534,1321116,31,0,0,0,0
"218","chr2",1307274,1340923,31,0,0,0,0
"219","chr12",1245971,1341315,31,0,0,0,0
"220","chr2",1340924,1342809,27,0,0,0,0
"221","chr2",1342810,1346386,29,0,0,0,0
"222","chr2",1346387,1348107,30,0,0,0,0
"223","chr12",1341316,1355325,31,1,0,0.032258064516129,0
"224","chr1",1214419,1357075,31,0,3,0,0.0967741935483871
"225","chr7",1179416,1361017,31,0,0,0,0
"226","chr7",1361018,1362348,30,0,0,0,0
"227","chr3",1321117,1366096,31,0,0,0,0
"228","chr1",1357076,1371494,31,0,3,0,0.0967741935483871
"229","chr1",1371495,1372830,31,0,0,0,0
"230","chr18",1073535,1387364,31,0,0,0,0
"231","chr7",1362349,1388367,31,1,0,0.032258064516129,0
"232","chr5",1179615,1396801,31,0,0,0,0
"233","chr3",1366097,1400731,31,0,0,0,0
"234","chr3",1400732,1402803,30,0,0,0,0
"235","chr2",1348108,1416887,31,0,0,0,0
"236","chr2",1416888,1417562,31,0,0,0,0
"237","chr18",1387365,1419289,31,0,0,0,0
"238","chr18",1419290,1419454,31,0,0,0,0
"239","chr14",748813,1431336,31,0,0,0,0
"240","chr14",1431337,1433815,31,0,0,0,0
"241","chr14",1433816,1434490,31,0,0,0,0
"242","chr14",1434491,1442319,31,0,0,0,0
"243","chr14",1442320,1443642,31,0,0,0,0
"244","chr1",1372831,1444675,31,0,0,0,0
"245","chr10",760969,1446852,31,0,0,0,0
"246","chr10",1446853,1446855,30,0,0,0,0
"247","chr14",1443643,1450884,31,0,0,0,0
"248","chr1",1444676,1452024,31,0,1,0,0.032258064516129
"249","chr1",1452025,1454706,31,0,3,0,0.0967741935483871
"250","chr14",1450885,1458821,31,0,0,0,0
"251","chr1",1454707,1460210,31,0,1,0,0.032258064516129
"252","chr14",1458822,1460621,31,1,0,0.032258064516129,0
"253","chr14",1460622,1461221,31,2,0,0.0645161290322581,0
"254","chr7",1388368,1464600,31,3,0,0.0967741935483871,0
"255","chr7",1464601,1466916,28,0,0,0,0
"256","chr6",1210080,1471066,31,0,0,0,0
"257","chr14",1461222,1471678,31,3,0,0.0967741935483871,0
"258","chr14",1471679,1476257,31,2,0,0.0645161290322581,0
"259","chr14",1476258,1476332,31,1,0,0.032258064516129,0
"260","chr10",1446856,1476866,31,0,0,0,0
"261","chr14",1476333,1479594,31,1,0,0.032258064516129,0
"262","chr3",1402804,1486419,31,0,0,0,0
"263","chr3",1486420,1487094,31,0,0,0,0
"264","chr3",1487095,1491219,31,0,0,0,0
"265","chr12",1355326,1504094,31,0,0,0,0
"266","chr12",1504095,1505031,31,0,4,0,0.129032258064516
"267","chr12",1505032,1506753,31,0,9,0,0.290322580645161
"268","chr12",1506754,1506828,31,0,8,0,0.258064516129032
"269","chr12",1506829,1506915,31,0,3,0,0.0967741935483871
"270","chr12",1506916,1507065,31,0,2,0,0.0645161290322581
"271","chr12",1507066,1508055,31,0,1,0,0.032258064516129
"272","chr12",1508056,1512757,30,0,1,0,0.032258064516129
"273","chr18",1419455,1512922,31,0,0,0,0
"274","chr18",1512923,1512997,31,0,1,0,0.032258064516129
"275","chr18",1512998,1513147,31,0,2,0,0.0645161290322581
"276","chr14",1479595,1516156,31,0,0,0,0
"277","chr18",1513148,1518222,31,0,3,0,0.0967741935483871
"278","chr18",1518223,1518660,31,0,2,0,0.0645161290322581
"279","chr20",1286314,1602974,31,0,0,0,0
"280","chr20",1602975,1603096,31,1,0,0.032258064516129,0
"281","chr20",1603097,1606134,31,10,0,0.32258064516129,0
"282","chr20",1606135,1606209,31,4,0,0.129032258064516,0
"283","chr20",1606210,1606659,31,2,0,0.0645161290322581,0
"284","chr20",1606660,1608342,29,0,0,0,0
"285","chr5",1396802,1616980,31,0,0,0,0
"286","chr20",1608343,1617586,31,0,0,0,0
"287","chr6",1471067,1620914,31,0,0,0,0
"288","chr1",1460211,1625018,31,0,0,0,0
"289","chr6",1620915,1631413,31,0,0,0,0
"290","chr1",1625019,1634414,31,0,0,0,0
"291","chr1",1634415,1634765,31,0,0,0,0
"292","chr2",1417563,1636920,31,0,0,0,0
"293","chr6",1631414,1638854,31,3,0,0.0967741935483871,0
"294","chr9",1134011,1647098,31,0,0,0,0
"295","chr17",1094229,1667128,31,0,0,0,0
"296","chr17",1667129,1670206,31,0,0,0,0
"297","chr12",1512758,1672482,31,0,1,0,0.032258064516129
"298","chr1",1634766,1675718,31,0,0,0,0
"299","chr17",1670207,1681568,31,0,0,0,0
"300","chr17",1681569,1684056,31,0,0,0,0
"301","chr1",1675719,1705018,31,0,0,0,0
"302","chr1",1705019,1708693,31,0,0,0,0
"303","chr16",1104638,1716322,31,0,0,0,0
"304","chr20",1617587,1732929,31,0,0,0,0
"305","chr12",1672483,1736526,31,0,0,0,0
"306","chr1",1708694,1769476,31,0,0,0,0
"307","chr1",1769477,1769684,30,0,0,0,0
"308","chr1",1769685,1783793,31,1,0,0.032258064516129,0
"309","chr11",797,1787896,31,0,0,0,0
"310","chr11",1787897,1792682,31,0,0,0,0
"311","chr11",1792683,1802350,31,0,0,0,0
"312","chr11",1802351,1802809,31,0,0,0,0
"313","chr11",1802810,1821276,31,0,0,0,0
"314","chr17",1684057,1825802,31,0,0,0,0
"315","chr1",1783794,1835308,31,0,0,0,0
"316","chr17",1825803,1836158,31,0,0,0,0
"317","chr18",1518661,1836986,31,0,0,0,0
"318","chr18",1836987,1837061,31,0,0,0,0
"319","chr18",1837062,1838702,31,0,0,0,0
"320","chr1",1835309,1873968,31,0,0,0,0
"321","chr16",1716323,1895529,31,0,0,0,0
"322","chr18",1838703,1896280,31,0,0,0,0
"323","chr1",1873969,1903166,31,0,0,0,0
"324","chr12",1736527,1904651,31,0,0,0,0
"325","chr12",1904652,1905291,31,0,2,0,0.0645161290322581
"326","chr12",1905292,1905577,31,0,1,0,0.032258064516129
"327","chr17",1836159,1931750,31,0,0,0,0
"328","chr17",1931751,1933025,31,0,0,0,0
"329","chr17",1933026,1933325,31,0,0,0,0
"330","chr14",1516157,1933928,31,0,0,0,0
"331","chr14",1933929,1936322,31,0,0,0,0
"332","chr5",1616981,1944544,31,0,0,0,0
"333","chr5",1944545,1946907,31,0,7,0,0.225806451612903
"334","chr12",1905578,1952075,31,0,0,0,0
"335","chr5",1946908,1953489,31,0,1,0,0.032258064516129
"336","chr17",1933326,1955869,31,0,0,0,0
"337","chr14",1936323,1962908,31,0,0,0,0
"338","chr20",1732930,1985618,31,0,0,0,0
"339","chr8",783077,1988172,31,0,0,0,0
"340","chr11",1821277,1993537,31,0,0,0,0
"341","chr20",1985619,1997595,31,0,0,0,0
"342","chr8",1988173,1999043,31,1,0,0.032258064516129,0
"343","chr8",1999044,1999843,31,1,0,0.032258064516129,0
"344","chr8",1999844,2005203,31,1,0,0.032258064516129,0
"345","chr5",1953490,2025581,31,0,0,0,0
"346","chr5",2025582,2031610,31,0,0,0,0
"347","chr5",2031611,2038406,31,0,0,0,0
"348","chr5",2038407,2072024,31,0,0,0,0
"349","chr20",1997596,2075759,31,0,0,0,0
"350","chr5",2072025,2080563,31,0,0,0,0
"351","chr5",2080564,2080938,31,0,0,0,0
"352","chr11",1993538,2086941,31,0,0,0,0
"353","chr5",2080939,2087490,31,0,0,0,0
"354","chr3",1491220,2095424,31,0,0,0,0
"355","chr3",2095425,2095586,31,0,0,0,0
"356","chr14",1962909,2097047,31,0,0,0,0
"357","chr10",1476867,2115469,31,0,0,0,0
"358","chr16",1895530,2129239,31,0,0,0,0
"359","chr18",1896281,2130087,31,0,0,0,0
"360","chr20",2075760,2133440,31,0,0,0,0
"361","chr18",2130088,2159112,31,0,0,0,0
"362","chr1",1903167,2198490,31,0,0,0,0
"363","chr1",2198491,2199222,31,0,0,0,0
"364","chrX",1120481,2202106,31,0,0,0,0
"365","chrX",2202107,2207543,30,0,0,0,0
"366","chrX",2207544,2207884,31,0,1,0,0.032258064516129
"367","chrX",2207885,2208625,28,0,1,0,0.032258064516129
"368","chrX",2208626,2220239,31,0,4,0,0.129032258064516
"369","chrX",2220240,2221434,28,0,1,0,0.032258064516129
"370","chr7",1466917,2230360,31,0,0,0,0
"371","chr18",2159113,2236406,31,0,0,0,0
"372","chr12",1952076,2237816,31,0,0,0,0
"373","chr20",2133441,2240682,31,0,0,0,0
"374","chr1",2199223,2240993,31,0,0,0,0
"375","chr18",2236407,2250454,31,0,0,0,0
"376","chr5",2087491,2267695,31,0,0,0,0
"377","chr16",2129240,2272262,31,0,0,0,0
"378","chr3",2095587,2276591,31,0,0,0,0
"379","chr16",2272263,2295704,31,0,0,0,0
"380","chr12",2237817,2306333,31,0,0,0,0
"381","chr18",2250455,2312859,31,0,0,0,0
"382","chr18",2312860,2313358,31,2,0,0.0645161290322581,0
"383","chr16",2295705,2330037,31,0,0,0,0
"384","chr7",2230361,2335761,31,0,0,0,0
"385","chr10",2115470,2337468,31,0,0,0,0
"386","chr15",95548,2338716,31,0,0,0,0
"387","chr3",2276592,2342427,31,0,0,0,0
"388","chrX",2221435,2342971,31,0,1,0,0.032258064516129
"389","chr7",2335762,2344835,31,6,0,0.193548387096774,0
"390","chrX",2342972,2346039,30,0,0,0,0
"391","chr15",2338717,2364119,31,0,0,0,0
"392","chr7",2344836,2365713,31,8,0,0.258064516129032,0
"393","chr16",2330038,2372140,31,0,0,0,0
"394","chr3",2342428,2374762,31,0,0,0,0
"395","chr15",2364120,2380816,31,1,0,0.032258064516129,0
"396","chr16",2372141,2381478,31,0,0,0,0
"397","chr15",2380817,2381566,31,1,0,0.032258064516129,0
"398","chr2",1636921,2403393,31,0,0,0,0
"399","chr2",2403394,2403468,31,0,0,0,0
"400","chr2",2403469,2403693,31,0,0,0,0
"401","chr19",454386,2417856,31,0,0,0,0
"402","chr8",2005204,2422383,31,0,0,0,0
"403","chr8",2422384,2423058,31,1,0,0.032258064516129,0
"404","chr7",2365714,2428719,31,8,0,0.258064516129032,0
"405","chr11",2086942,2430246,31,0,0,0,0
"406","chr11",2430247,2430256,29,0,0,0,0
"407","chr12",2306334,2435891,31,0,0,0,0
"408","chr12",2435892,2435966,31,0,0,0,0
"409","chr12",2435967,2436491,31,0,0,0,0
"410","chr12",2436492,2436641,31,0,0,0,0
"411","chr11",2430257,2438461,31,2,0,0.0645161290322581,0
"412","chr7",2428720,2457293,31,8,0,0.258064516129032,0
"413","chr7",2457294,2458020,31,4,0,0.129032258064516,0
"414","chr7",2458021,2458170,31,3,0,0.0967741935483871,0
"415","chr7",2458171,2458395,31,2,0,0.0645161290322581,0
"416","chr7",2458396,2458770,31,1,0,0.032258064516129,0
"417","chr3",2374763,2462009,31,0,0,0,0
"418","chr4",357053,2489482,31,0,0,0,0
"419","chr7",2458771,2490782,31,0,0,0,0
"420","chr3",2462010,2496993,31,0,0,0,0
"421","chr12",2436642,2512682,31,0,0,0,0
"422","chr3",2496994,2517649,31,0,0,0,0
"423","chr7",2490783,2522512,31,0,0,0,0
"424","chr12",2512683,2540034,31,0,0,0,0
"425","chr14",2097048,2545474,31,0,0,0,0
"426","chr12",2540035,2554351,31,0,0,0,0
"427","chr12",2554352,2556376,31,1,0,0.032258064516129,0
"428","chr12",2556377,2564038,31,0,0,0,0
"429","chr19",2417857,2582451,31,0,0,0,0
"430","chr3",2517650,2585883,31,0,0,0,0
"431","chr20",2240683,2593225,31,0,0,0,0
"432","chr20",2593226,2601070,30,0,0,0,0
"433","chr16",2381479,2601573,31,0,0,0,0
"434","chr14",2545475,2602841,31,0,0,0,0
"435","chr15",2381567,2616621,31,0,0,0,0
"436","chr5",2267696,2619424,31,0,0,0,0
"437","chr2",2403694,2623864,31,0,0,0,0
"438","chr2",2623865,2624014,31,0,1,0,0.032258064516129
"439","chr12",2564039,2624838,31,0,0,0,0
"440","chr2",2624015,2624951,31,0,2,0,0.0645161290322581
"441","chr2",2624952,2625176,31,0,1,0,0.032258064516129
"442","chr12",2624839,2637321,31,1,0,0.032258064516129,0
"443","chr5",2619425,2639642,31,0,0,0,0
"444","chr20",2601071,2643982,31,0,0,0,0
"445","chr5",2639643,2644809,31,0,0,0,0
"446","chr20",2643983,2646721,31,0,2,0,0.0645161290322581
"447","chr20",2646722,2647811,30,0,1,0,0.032258064516129
"448","chr12",2637322,2648234,31,1,0,0.032258064516129,0
"449","chr20",2647812,2648792,29,0,0,0,0
"450","chr15",2616622,2666429,31,0,0,0,0
"451","chr14",2602842,2673379,31,0,0,0,0
"452","chr20",2648793,2706385,31,0,0,0,0
"453","chr18",2313359,2727077,31,0,0,0,0
"454","chr18",2727078,2739349,31,3,0,0.0967741935483871,0
"455","chr12",2648235,2752457,31,0,0,0,0
"456","chr12",2752458,2752607,31,0,2,0,0.0645161290322581
"457","chr12",2752608,2752781,31,0,5,0,0.161290322580645
"458","chr12",2752782,2752931,31,0,6,0,0.193548387096774
"459","chr12",2752932,2753006,31,0,7,0,0.225806451612903
"460","chr12",2753007,2773229,31,0,9,0,0.290322580645161
"461","chr12",2773230,2779858,31,0,4,0,0.129032258064516
"462","chr2",2625177,2803619,31,0,0,0,0
"463","chr8",2423059,2834482,31,0,0,0,0
"464","chr8",2834483,2835533,31,1,0,0.032258064516129,0
"465","chr2",2803620,2843205,31,0,0,0,0
"466","chr2",2843206,2844951,31,0,0,0,0
"467","chr2",2844952,2845118,31,0,1,0,0.032258064516129
"468","chr2",2845119,2845268,31,0,2,0,0.0645161290322581
"469","chr3",2585884,2849912,31,0,0,0,0
"470","chr4",2489483,2851575,31,0,0,0,0
"471","chr3",2849913,2851862,31,0,0,0,0
"472","chr2",2845269,2853702,31,0,3,0,0.0967741935483871
"473","chr2",2853703,2856921,31,0,2,0,0.0645161290322581
"474","chr2",2856922,2857297,31,0,1,0,0.032258064516129
"475","chr20",2706386,2872493,31,0,0,0,0
"476","chr6",1638855,2874206,31,0,0,0,0
"477","chr1",2240994,2875012,31,0,0,0,0
"478","chr20",2872494,2876482,31,0,4,0,0.129032258064516
"479","chr20",2876483,2878790,31,4,0,0.129032258064516,0
"480","chr20",2878791,2883504,31,21,0,0.67741935483871,0
"481","chr6",2874207,2917477,31,0,0,0,0
"482","chr6",2917478,2917702,31,0,0,0,0
"483","chr14",2673380,2930707,31,0,0,0,0
"484","chr3",2851863,2932048,31,0,0,0,0
"485","chr16",2601574,2936715,31,0,0,0,0
"486","chr20",2883505,2973746,31,1,0,0.032258064516129,0
"487","chr3",2932049,2977562,31,0,0,0,0
"488","chr15",2666430,2981752,31,0,0,0,0
"489","chr15",2981753,2983629,31,1,0,0.032258064516129,0
"490","chr20",2973747,2989873,30,0,0,0,0
"491","chr1",2875013,3000060,31,0,0,0,0
"492","chr18",2739350,3007412,31,0,0,0,0
"493","chr7",2522513,3050351,31,0,0,0,0
"494","chr7",3050352,3051101,31,9,0,0.290322580645161,0
"495","chr16",2936716,3080721,31,0,0,0,0
"496","chr16",3080722,3081030,31,0,0,0,0
"497","chr1",3000061,3098056,31,0,0,0,0
"498","chr18",3007413,3111506,31,0,0,0,0
"499","chr8",2835534,3113351,31,0,0,0,0
"500","chr8",3113352,3114334,31,1,0,0.032258064516129,0
"501","chr20",2989874,3129365,31,0,0,0,0
"502","chr20",3129366,3141055,31,0,0,0,0
"503","chr20",3141056,3156437,31,3,3,0.0967741935483871,0.0967741935483871
"504","chr20",3156438,3156464,30,3,2,0.0967741935483871,0.0645161290322581
"505","chr20",3156465,3159332,31,3,3,0.0967741935483871,0.0967741935483871
"506","chr10",2337469,3160028,31,0,0,0,0
"507","chr20",3159333,3160216,31,3,3,0.0967741935483871,0.0967741935483871
"508","chr20",3160217,3160468,31,2,3,0.0645161290322581,0.0967741935483871
"509","chr20",3160469,3162855,31,2,3,0.0645161290322581,0.0967741935483871
"510","chr20",3162856,3163126,31,2,2,0.0645161290322581,0.0645161290322581
"511","chr10",3160029,3184808,31,0,0,0,0
"512","chr14",2930708,3201770,31,0,0,0,0
"513","chr14",3201771,3206653,31,1,0,0.032258064516129,0
