"","TermType","sigTerm","stable_vs_growing.NES","stable_vs_growing.padj","names"
"NImmune response_Th17-derived cytokines","Immune response","Th17-derived cytokines","-0.501184840878011","0","NImmune response_Th17-derived cytokines"
"NInflammation_Protein C signaling","Inflammation","Protein C signaling","-0.536714423468605","0","NInflammation_Protein C signaling"
"NInflammation_TREM1 signaling","Inflammation","TREM1 signaling","-0.486571783041969","0","NInflammation_TREM1 signaling"
"NInflammation_Complement system","Inflammation","Complement system","-0.701071073390931","0","NInflammation_Complement system"
"NImmune response_Phagocytosis","Immune response","Phagocytosis","-0.471871907997477","0","NImmune response_Phagocytosis"
"NInflammation_Neutrophil activation","Inflammation","Neutrophil activation","-0.469920620547141","0","NInflammation_Neutrophil activation"
"NImmune response_T helper cell differentiation","Immune response","T helper cell differentiation","-0.566024082866224","0","NImmune response_T helper cell differentiation"
"NImmune response_BCR pathway","Immune response","BCR pathway","-0.476465445036621","0","NImmune response_BCR pathway"
"NTransport_Potassium transport","Transport","Potassium transport","0.408703534512452","0","NTransport_Potassium transport"
"NInflammation_Innate inflammatory response","Inflammation","Innate inflammatory response","-0.465695065338363","0","NInflammation_Innate inflammatory response"
"NImmune response_Innate immune response to RNA viral infection ","Immune response","Innate immune response to RNA viral infection ","-0.43622021719289","0","NImmune response_Innate immune response to RNA viral infection "
"NCell adhesion_Glycoconjugates","Cell adhesion","Glycoconjugates","-0.391656317753942","0","NCell adhesion_Glycoconjugates"
"NInflammation_Histamine signaling","Inflammation","Histamine signaling","-0.410991826895193","0","NInflammation_Histamine signaling"
"NInflammation_Kallikrein-kinin system","Inflammation","Kallikrein-kinin system","-0.470720375121043","0","NInflammation_Kallikrein-kinin system"
"NTransport_Sodium transport","Transport","Sodium transport","-0.373249954111633","0","NTransport_Sodium transport"
"NTranslation_Translation in mitochondria","Transcription","Translation in mitochondria","0.486907677282816","0","NTranslation_Translation in mitochondria"
"NTranslation_Elongation-Termination","Transcription","Elongation-Termination","0.452811704436146","0","NTranslation_Elongation-Termination"
