"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NImmune response_Th17-derived cytokines",0.460175951487664,0.0600000000000001,0.328627276765882,"6280;6356;6279;6354;6364;3553;5602;3586;6372;5600","Th17-derived cytokines"
"NInflammation_IgE signaling",0.423862783554893,0.0600000000000001,0.328627276765882,"27040;695;5330;5602;7409;2207;6850;2206;5600;10725;240;5599;4773;4772;5293;5740;4792;5062;23236;4843;3937;3569;7178;27306;6347;5588;9846;4056;5290;773","IgE signaling"
"NCell adhesion_Glycoconjugates",0.438488265111783,0.0600000000000001,0.328627276765882,"4916;4068;6364;2335;22801;627;6366;1463;3956;3371;1277;4915;3960;6850;1462;7130;6614;3672;4914;284217;8515;2006;347733;6352;6900;3038;10381;1634;3984;3957;6403;7143;375790;3958;2192","Glycoconjugates"
"NNeurophysiological process_Melatonin signaling",0.609284782071148,0.0800000000000001,0.38755206286837,"6517;3763;5330;815;3778;3292;240;6783;4920","Melatonin signaling"
"NProteolysis_Connective tissue degradation",0.429158017518715,0.0800000000000001,0.38755206286837,"2335;140766;4321;80332;8728;3371;1277;7980;56999;1215;9509;9313;5270;4060;284217;170689;1282;2006;8745;5269;5054;4035;4316;4325;4012;6942;11096;4318;1280;4322;1281;5046","Connective tissue degradation"
"NTranslation_Regulation of initiation",0.187577132680774,0.08,0.38755206286837,"5600;3561;6655;7074;3315;3560;10000;5293;8669;6199;8894;6885;3643;7040;5290;2475;5603;8672;7248;7249;8661;6300;3667;3646","Regulation of initiation"
"NDevelopment_Neurogenesis in general",0.445830222857394,0.0800000000000001,0.38755206286837,"135;1270;6493;1910;3624;474;5026;26468;5455;9118;2290;4826;53358;7476;1131;5270;64096;10763;5764;3213;5454;1282;7422;4884;238;27330;5623;4192;7021;429;2535;5087;4010;4851;4855;9915;5079;9759;23493;2316","Neurogenesis in general"
"NAutophagy_Autophagy",-0.26743436987799,0.1,0.426166609056343,"207;4615;9776;30849;7099;7098;1612;7097;596;10333","Autophagy"
"NProtein folding_Protein folding nucleus",-0.244012046617658,0.1,0.426166609056343,"3309;4800;912;135295;2745;3320","Protein folding nucleus"
"NProteolysis_ECM remodeling",0.471228945666233,0.1,0.426166609056343,"6696;2335;140766;4321;80332;3371;1277;7980;2147;6678;9509;9313;4060;284217;1282;2006;5269;5054;2161;4035;4316;4325;6942;80781;4318;1280;4322;1281;5046;10863","ECM remodeling"
"NSignal transduction_Leptin signaling",0.205865194812751,0.1,0.426166609056343,"6517;1375;3553;51083;5140;7422;31;5054;4792;6722;9915","Leptin signaling"
"NProtein folding_Folding in normal condition",0.156363181938463,0.1,0.426166609056343,"3299;2289;8626;8148;4773;3315;5532;3316;3303;5903;30001;3336;10808;5204;5202","Folding in normal condition"
"NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling",0.44735920900041,0.1,0.426166609056343,"3791;4624;10052;54567;5175;4619;1462;4776;7422;59;2200;3397;2737;5532;4772;133;4629;3087;8828;51176;5310;4625;4851;23236;6909;6722;10203;3751;57534;23493","Wnt"
"NApoptosis_Apoptosis stimulation by external signals",0.20339901915362,0.1,0.426166609056343,"4916;3624;627;4915;5602;4914;5599;4792;5062;4217;23236;10018;6885;2066;9994;3953;581;7040;5871;10572;3084","Apoptosis stimulation by external signals"
"NDevelopment_Ossification and bone remodeling",0.417337979216202,0.1,0.426166609056343,"6696;60529;3224;3624;8646;3479;54567;1277;860;7476;10631;6678;5600;3487;2550;5764;5744;10413;4092;8817;7291;5251;632;1009;165;10220;51176;4851;650;1747;2316;1387;6885;1280;3574;649;1855;7040;3623;10140;796;6197;90","Ossification and bone remodeling"
"NCell cycle_G1-S",0.23784747134697,0.12,0.46046685340803,"586;63967;79858;1026;3838;2354;472;1164;4792;8558;672;983;6502;9134;3840;1027;25847;6233;1030;1493;4605;5933;1647;894;2177;29945;890;3364;1033;1021;4163;7248;7249;997;4331;7311;5347;26271;1028;2114;64682;1020;9656;9978;10459;996","G1-S"
"NApoptosis_Anti-Apoptosis mediated by external signals via PI3K/AKT",0.407794182804389,0.12,0.46046685340803,"54210;4916;1270;3791;5159;2335;22801;3479;627;4277;1277;4846;4915;10870;3553;7305;6850;3561;597;4303;4914;284217;1282;6348;8515;7422;3082;3559;604;112;4792;5156;558;5922;4843;10018;100507436;3569;5154;154;332;5781;1280;23529;581;3643;3574","Anti-Apoptosis mediated by external signals via PI3K/AKT"
"NSignal transduction_ERBB-family signaling",-0.18212042391447,0.14,0.489662411347518,"5879;5894;5728;6774;8660;4790;5058;5921;207;7410;6416;5868;1950;4893;3725;2002;2065;1956;685","ERBB-family signaling"
"NSignal transduction_ESR2 pathway",-0.1630854200446,0.14,0.489662411347518,"2872;1950;6776;6777;1956;949;118;5730;3481","ESR2 pathway"
"NCytoskeleton_Intermediate filaments",0.425902795943786,0.14,0.489662411347518,"3868;1308;5602;9118;8419;3848;10763;7431;3861;347733;5317;4644;10381;5630;3872;3798;667;983","Intermediate filaments"
"NResponse to hypoxia and oxidative stress",0.201432976420787,0.14,0.489662411347518,"221357;5602;5600;8288;2686;8626;5599;2882;1026;472;3162;4217;6403","Response to hypoxia and oxidative stress"
"NSignal transduction_Androgen receptor nuclear signaling",0.215020400245649,0.14,0.489662411347518,"3486;1644;9682;2289;64324;675;1026;2149;7041;672;994;6840;9612;983;367;2316;9611;1387","Androgen receptor nuclear signaling"
"NCytoskeleton_Actin filaments",0.393011490580795,0.14,0.489662411347518,"88;6442;4647;286;22885;6624;1308;81624;27445;4619;89;2318;4638;10529;6708;7169;1729;5592;7074;4644;7402;3983;4650;4627;4629;29993;10420;3984;6840;8476;2039;667","Actin filaments"
"NSignal transduction_NOTCH signaling",0.231695405586347,0.14,0.489662411347518,"5159;54567;5602;7476;5600;8626;6655;3714;7422;5599;2273;8076;1026;84667;3559;9794;9046;5293;4792;5156;9612;2535;9148;4851;4843;4855;9915;6502;3955;6199;9924;5154;5079;1027;57534;23493;2066;6423;6233;64750;7475;768;8777;2069;1855;7040;23013","NOTCH signaling"
"NDevelopment_Melanocyte development and pigmentation",-0.281380426475496,0.16,0.526318036286019,"1385;207;5573;2982;6663;3815","Melanocyte development and pigmentation"
"NSignal transduction_Nitric oxide signaling",0.437087071232579,0.16,0.526318036286019,"4846;814;3553;815;2904;5600;64746;7422;5592;9722;8654;1742;2902;5293;4217;4843;51655","Nitric oxide signaling"
"NInflammation_TREM1 signaling",0.414675105151898,0.16,0.526318036286019,"54210;6354;54209;3553;5602;3586;7305;958;6850;3684;5600;10725;6348;64127;5599;4773;4772;10000;5293;4792;64170","TREM1 signaling"
"NImmune response_Phagosome in antigen presentation",0.236570930261468,0.16,0.526318036286019,"88;2335;27040;695;5330;5602;3055;7409;2207;6850;2206;2214;89;3684;5600;2533;2209;5599;23198;9478;5293;4792;3984;4035;23236;4843;3937","Phagosome in antigen presentation"
"NReproduction_Male sex differentiation",0.232443786692618,0.16,0.526318036286019,"1644;3479;815;7020;5600;50511;269;8626;8911;3714;347733;8643;3082;1026;23118;10381;604;472;57082;3303;10420;5156;51087;9148;4117;983;650;6403;6909;5154;5079;367;7178;1387;6885;6660;581;3643;2194;8021;7182;4678;7040;113;3024;894;113457;10572;773;90;5048;2247","Male sex differentiation"
"NInflammation_IFN-gamma signaling",0.211463758636478,0.18,0.550265311182742,"815;5600;6348;4092;6352;1026;5054;10000;5293;6361;4792;672;4843;8894;5781;1387;4318;60312;3574","IFN-gamma signaling"
"NDevelopment_Neurogenesis_Axonal guidance",0.380192740112063,0.18,0.550265311182742,"4974;5365;4916;90249;627;8633;5125;4915;117;338;91584;5649;815;4619;223117;2042;6262;1000;4914;8745;9638;347733;6092;23092;6900;3983;80031;4627;10381;2048;9353;7204;2044;1630;5364;8828;3984;9826;8507;23236;6403;10787;10163;775;57522;1943;55811;4628;1808","Neurogenesis"
"NSignal Transduction_BMP and GDF signaling",0.398879042390169,0.2,0.580051752528817,"6696;3224;8646;94;3479;25928;860;10272;5600;4092;3397;1026;23118;632","BMP and GDF signaling"
"NNeurophysiological process_Olfactory transduction",0.649132292456096,0.22,0.598231142479047,"1258;815","Olfactory transduction"
"NSignal transduction_Androgen receptor signaling cross-talk",0.200142956985039,0.22,0.598231142479047,"3479;5600;5599;3569;154;367;1387;857;1855;7040;3084;5290;2475","Androgen receptor signaling cross-talk"
"NDNA damage_BER-NER repair",0.225000821401193,0.22,0.598231142479047,"5426;4595;10721;472;55247;27301;672;5981;6119;7507;2074;5984;7515;2068;3364;7158;5427;6118;580;3978;4331;6667;5983;64210;252969;9656;2966","BER-NER repair"
"NCell cycle_G1-S Interleukin regulation",0.245645764272765,0.22,0.598231142479047,"3553;5602;3586;3561;6655;5599;1026;3559;3552;10000;5293;4792;4843;1027;5781;6885;1030;5933;894;10140;5290;5863;3718;890;1021;2242","G1-S Interleukin regulation"
"NDevelopment_Blood vessel morphogenesis",0.38078858284507,0.22,0.598231142479047,"135;1910;3791;1901;51705;3491;285;2335;54567;4846;7070;1909;3553;3263;10846;4879;5140;4303;51378;7852;1490;7422;5599;5592;2149;4881;2305;9353;3552;136;9046;5150;8828;688;4851;4843;27329;4855;5228;2057;2056","Blood vessel morphogenesis"
"NInflammation_Kallikrein-kinin system",0.241099327277642,0.24,0.619677486910995,"4846;2147;5330;8681;2157;5345;5600;7512;7450;7056;2162;2159;5054;5293;5740;4792;2161;23236;4843","Kallikrein-kinin system"
"NImmune response_BCR pathway",0.227423004220005,0.24,0.619677486910995,"695;5452;5602;7409;6850;4776;10725;5599;4773;604;4772;5293;4792","BCR pathway"
"NReproduction_FSH-beta signaling pathway",0.255026218147234,0.24,0.619677486910995,"3486;3624;3479;25928;815;5858;10272;5600;7422;2796;4792;7049;2869;5087;6199;4920;1027;1847;1387;6196;5333;2069;7040;894;3623;10140;5290;773;2475;6197;90","FSH-beta signaling pathway"
"NDevelopment_Regulation of telomere length",0.220276189697012,0.26,0.640851659336266,"1026;672;7013;7011;6146;8658;5933;65057;5290;55505;26277;1021;5578;7015;54984;6667;1736;54433;6741","Regulation of telomere length"
"NBlood coagulation",0.441683720573225,0.26,0.640851659336266,"135;7980;2151;2147;958;2157;2815;5345;3848;5270;10544;1282;7450;7056;2162;2159;2149;5054;2161;4485;948;8761;2153","Blood coagulation"
"NInflammation_Interferon signaling",0.232670126942692,0.26,0.640851659336266,"6354;4277;3553;958;50615;2209;6348;6352;4332;4210;4843;100507436;9314;1027;2099","Interferon signaling"
"NSignal Transduction_Cholecystokinin signaling",0.237617424930494,0.26,0.640851659336266,"5125;5330;815;5600;6655;885;5922;23236;6722;11214;2099;5333;113;5290;6197;2247;5335;5603;5338","Cholecystokinin signaling"
"NCell cycle_G1-S Growth factor regulation",0.257077124063888,0.26,0.640851659336266,"3791;3624;3479;5582;2147;5602;4335;6655;4145;7422;5599;3082;1026;2149;10000;5293;4792;5156;51176;23236;4843;5154;1027;5781;1030;5588;5933;2077;324;7040;894;3623;10140;5290;5863;2247;6925;890;5335;1021;2260;2242;4830;5578;3667","G1-S Growth factor regulation"
"NCell adhesion_Leucocyte chemotaxis",0.375450033587775,0.28,0.663358954650269,"6356;6354;816;6364;10235;6366;1233;27040;695;5330;10563;7409;6372;8631;6369;815;2533;7852;6348;347733;6352;3384;10381;10663;7204;5293;6361","Leucocyte chemotaxis"
"NNeurophysiological process_GABAergic neurotransmission",0.400286528606816,0.3,0.678785098183153,"2572;1759;3763;53358;23025;815;2904;22809;2550;2868;774;347733;10381;2902;111;112;2869;23236;6804;9568;9057;22999","GABAergic neurotransmission"
"NCell cycle_Meiosis",0.252131641245823,0.3,0.678785098183153,"23626;50511;11144;9700;3714;347733;675;10381;472;672;9985;983;27030;6233;8438;7515;4437;113457;4750;5290;995;56288;5893","Meiosis"
"NTranslation_Selenium pathway",-0.214139068250129,0.32,0.692762071992976,"7296;9403;4780;1491;22928;4143;1385;23382;3725;5970;7494;6414","Selenium pathway"
"NDevelopment_Keratinocyte differentiation",0.242008246810133,0.32,0.692762071992976,"3848;5599;1026;3858;4217;4851;23236","Keratinocyte differentiation"
"NTranscription_Nuclear receptors transcriptional regulation",0.25207249295669,0.32,0.692762071992976,"3553;5600;6096;6655;64324;8148;7025;7026;9971;9969;7067;5156;9612;10891;2101;4920;5154;154;2099;367;9611;1387;6885;3148;3164;9994;9968;9321;7040;23054;5916;1024;83860;6877","Nuclear receptors transcriptional regulation"
"NDevelopment_Hedgehog signaling",0.262315988197226,0.32,0.692762071992976,"1270;3624;6935;407;5745;2290;5600;50937;8626;5744;3714;7422;4613;8643;3397;7026;1026;8405;2737;2305;4192;27148;111;4294;429;51176;84976;9826;2535;4036;5087;4010;4851;650;6909;6502;9924;4920;5079;1027;23493;367;2316;1387;4318;6233","Hedgehog signaling"
"NTransport_Bile acids transport and its regulation",0.489834044438583,0.34,0.707964870798852,"64241;221357;10998;8647;6579;9971;10864;948","Bile acids transport and its regulation"
"NCytoskeleton_Macropinocytosis and its regulation",0.249491787844658,0.34,0.707964870798852,"5159;7409;5140;4914;347733;7074;3082;10381;5156;3984;51479;23236;10163","Macropinocytosis and its regulation"
"NApoptosis_Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT",0.257508668776537,0.34,0.707964870798852,"135;5159;117;5602;7409;6850;5600;3561;597;4914;5599;112;5156;983;23236;2057;6722;10018;2056;5154;332;9774;581;3574;9846","Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT"
"NReproduction_Progesterone signaling",0.240753455352345,0.34,0.707964870798852,"2335;3479;1759;5582;5452;2564;815;5140;8295;3292;2289;7422;347733;3082;10381;1164;994;51176;6783;4217;4851;983;23236;4843","Progesterone signaling"
"NReproduction_Spermatogenesis, motility and copulation",0.24737524160201,0.34,0.707964870798852,"113746;81629;1644;3479;25876;5452;815;29947;8911;3315;23118;7180;3303;10420;5156;51087;650;6909;5154;5079;367;1387;6885;6660;3643;10863;7182;4678;113;3024;2175;9043;9519;773;1788;90","Spermatogenesis, motility and copulation"
"NCytoskeleton_Spindle microtubules",0.361013078375514,0.36,0.719708123885196,"6795;57787;8626;9700;347733;1063;3838;10381;22983;3619;55835;1164;4281;113130;85378;9985;27436;983;11065;2036;3835;8243;10362;9735;1060;1781;701;113457;5885;9212;5048;114791;6249;51512;4926;51807;4137;9972;891;5347;29911;5901;64682;8655;11004;7272;8086;9493;6790","Spindle microtubules"
"NNeurophysiological process_Taste signaling",0.59447673224975,0.38,0.73455942301662,"5030;5330;80835;3710","Taste signaling"
"NCell adhesion_Integrin-mediated cell-matrix adhesion",0.359812641553317,0.38,0.73455942301662,"6696;88;3491;2335;22801;3956;3371;1277;5923;7409;10395;10631;4619;6678;89;3684;2318;4638;3672;284217;1282;8515;2200;347733;1729;10381;1634;7204;5293;10420;7041;3984;51176;3695;65059;9404;29780;147179;2316;3696;8394;1280;1281;3911;857;1793;7408;3909;113457;388;3679;5290","Integrin-mediated cell-matrix adhesion"
"NDevelopment_Hemopoiesis, Erythropoietin pathway",0.262142266761327,0.4,0.745856019358742,"3039;695;5602;7409;6850;5600;6655;5599;5293;4792;4843;2057;10018;9134;2056;1056;1027","Hemopoiesis, Erythropoietin pathway"
"NMuscle contraction_Nitric oxide signaling in the cardiovascular system",0.362873602390732,0.42,0.75915261691834,"2624;1910;3791;4846;5330;815;5138;6262;487;7422;5592;2354;4772;111;9472;112;23236;4843;2101;775;154;10365","Nitric oxide signaling in the cardiovascular system"
"NCell adhesion_Integrin priming",0.383088620394406,0.42,0.75915261691834,"816;2335;22801;1277;2147;5330;815;3672;6655;284217;7852;1282;8515;59;2149;6915;5293","Integrin priming"
"NInflammation_Innate inflammatory response",0.244081848147362,0.42,0.75915261691834,"6356;6364;6441;695;5330;3553;5602;8808;5600;5599;23118;8993;3552;3303;4792;26525;23236;4843;3710;775;3569;9641;7100","Innate inflammatory response"
"NTranscription_mRNA processing",0.260064126917377,0.42,0.75915261691834,"8899;11189;8106;65109;6625;728642;6426;10915;5511;6433;3187;10482;10250;10772;6632;6432;11193;23658;57819;27258;6636;51690;7919;9295;1479;6635;51691;11157;6637;6626;25804;10521;8487;7307;55110;9984;3184;6294;3181;84844;10492;6434;10594;23283;83443;10212;6733;11218;6607;10421;10907;9939","mRNA processing"
"NMuscle contraction_Relaxin signaling",0.381280282216644,0.44,0.774855020711327,"1910;59350;4846;5330;3553;7422;5592;2201;111;112;4792;5143;23236;4843;3569;4318;4322","Relaxin signaling"
"NTranscription_Transcription by RNA polymerase II",0.286349089001591,0.44,0.774855020711327,"8295;8148;9969;904;10915;8812;10891;9611;1387;905;9044;2074;9968;6923;7150;9519;23054;2068;1024;83860;6877;10923;6879;27336;6881;6919;4331;8458;29079;2648;219541;6921;51497;84246;5439;2966;9441;10589;5436;400569;2958;9412;90390;51003;10474;404672;6621;6829","Transcription by RNA polymerase II"
"NInflammation_IL-12,15,18 signaling",0.272501421834609,0.46,0.792418611149923,"5602;10148;3594;5599;3595;4792;4843","IL-12,15,18 signaling"
"NDevelopment_Neuromuscular junction",0.366456564253884,0.46,0.792418611149923,"8292;6442;1145;5582;1134;5330;5602;6855;6655;284217;1282;5599;7402;43;6843;23236;375790;3915;2066;3911;5333;324;1140;1855;3909;3084","Neuromuscular junction"
"NTranslation_Translation initiation",0.346413418331176,0.46,0.792418611149923,"6168;9669;65109;6169;26019;440275;6234;6146;6156;8669;8761;6227;6206;6173;8894;6202;6147;6167;6231;9349;6229;23521;6233;6157;6155;6152;6205;23369;6230;6158;6204;6189;6209;6122;6232;55505;6154;6208;6176;27335;6228;6164;2091;6141;8672;6224;8602;6218;6193;8661;6124;6207;8445;6170;6159;51602;11224;3646;6165;6135;6138;6222;6137;7311;6143;6128;10399;1736;6188;6142;1452;25873;6201;6161;6217","Translation initiation"
"NNeurophysiological process_Corticoliberin signaling",0.250007368501788,0.48,0.804830681354549,"815;3848;9095;23236;775;3164;157","Corticoliberin signaling"
"NTranslation_Elongation-Termination",0.3433847682627,0.48,0.804830681354549,"6168;79048;9669;6029;29118;6169;6234;6146;6156;6199;6227;6206;6173;1933;6202;6147;6167;6231;9349;6229;23521;6233;6157;6155;6152;3643;6205;6230;6158;6895;6204;6189;6726;6209;6122;6232;5290;6154;6208;6176;6228;6164;6141;6224;6218;6728;55802;6193;6124;6207;6170;6159;3658;11224;6165;6135;6138;6222;6137;7311;6143;6128;10399;6188;6142;6727;26523;25873;6201;6161;6217","Elongation-Termination"
"NReproduction_Feeding and Neurohormone signaling ",0.25812948713578,0.48,0.804830681354549,"1447;3486;1446;3479;3553;815;7020;51052;3672;5744;284217","Feeding and Neurohormone signaling "
"NProliferation_Positive regulation cell proliferation",0.277666529525946,0.48,0.804830681354549,"246;1464;3479;6886;4921;5923;863;1909;4638;3561;5764;1871;6655;4145;115727;7422;5599;4613;1729;8817;3082;238;864;1026;6320;604;5293;7041;994;51655;133396;5228;6502;1027;80781;367;4659;5781","Positive regulation cell proliferation"
"NDNA damage_MMR repair",0.249355026069546,0.5,0.816598224930454,"4595;675;472;672;27030;5981;5980;5984;4437;7158;51426;6118;580;5983","MMR repair"
"NInflammation_IL-6 signaling",0.274727337306305,0.5,0.816598224930454,"3039;2335;3263;2157;5345;6655;1026;10000;5293;4792;4843;6722;3569","IL-6 signaling"
"NTranscription_Chromatin modification",0.359810499337127,0.5,0.816598224930454,"6594;8295;84444;64324;675;473;23468;11176;8289;9031;10891;7994;9759;2146;9611;10661;10943;10362;11177;83933;54880;84733;9874;9734;23492;10284;23409","Chromatin modification"
"NDevelopment_Cartilage development",0.385196301119873,0.54,0.839659477866061,"3624;2335;1277;1302;860;1301;5600;2200;4092;864;4256;7067;650;4920;4148;1280;4322;6660;1281;9241;649;7040","Cartilage development"
"NImmune response_Innate immune response to RNA viral infection ",0.264669243831018,0.54,0.839659477866061,"6356;51311;6364;5600;23118;4792;4938;4843;3569;9641;1387;6885;3589","Innate immune response to RNA viral infection "
"NInflammation_Inflammasome",0.283325734411479,0.54,0.839659477866061,"51311;114548;695;3553;5602;633;5600;64127;23118;4792;64170;3663;29108;9641;8894","Inflammasome"
"NCardiac development_Role of NADPH oxidase and ROS",0.286275453535474,0.56,0.847457959985271,"8854;4624;4688;4619;5599;4773;3397;2737;604;5532;4772;6591;4792;4217;4843;6722;2099;4628;5781;6885;581;653361;2697","Role of NADPH oxidase and ROS"
