"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling",-0.296736137208896,0,0,"5728;6868;2932;10052;4775;7057;22943;3516;2296;845;8828;3708;9421;5534;5578;89780;3688;57534;2776;148;5350;93649;4625;3791;2321;4208;3676;2200;5077;1462;10203;3751;4624;796;7547;57057;165904","Wnt"
"NInflammation_Innate inflammatory response",-0.338568832497163,0,0,"7097;11213;3456;5742;23118;5599;718;719;60489;8767;9373;3552;729;1147;10333;7189;29110;1432;3709;3708;5336;8809;3656;9536;1755;6356;3556;730;729238;2770;23643;695;7098;5743;7096;51752;5966;3554;7099;5321;5332;653509;114771;6364;8808;6440;4118;5588;3627;81793;6373;5579","Innate inflammatory response"
"NInflammation_NK cell cytotoxicity",-0.537862983944192,0,0,"1147;6655;4773;3594;843;3454;2534;5781;355;6654;3708;5336;966;80329;5551;5578;2214;80328;5594;5521;2205;8743;7037;51744;567;3937;3932;6772;919;3560;8302;3001;79465;3561;356;916;914;2113;3809;962;3804;259197;3593;3821;3824;3595;3811;5294;3002;3458;4068;3802;9437;3805","NK cell cytotoxicity"
"NCell adhesion_Glycoconjugates",-0.303105087258501,0,0,"8778;5781;355;2335;3673;5336;3655;5578;7130;6093;1404;5594;394;6366;6347;3688;6352;1439;6693;1634;10097;9475;3037;946;3680;1956;4067;6401;3672;627;3240;1462;6364;6403;3627;5788;6402;4068;1048","Glycoconjugates"
"NInflammation_Histamine signaling",-0.294670291240347,0,0,"3708;5336;5534;1386;1385;5578;9536;6093;5573;942;5594;6356;6198;817;6347;6352;50487;2770;10097;9475;5743;3394;5966;5321;5332;5337;5319;6364;5567;1536;6403;2977;26279;3627;7412;3593;3458","Histamine signaling"
"NDevelopment_Ossification and bone remodeling",-0.267155697533608,0,0,"5167;1499;10468;865;4087;7071;4089;10140;92;308;90;4853;2033;1758;4090;10413;4086;2932;56172;6197;860;7189;6678;3239;1280;2296;91851;657;3205;8600;659;2308;1300;1009;3624;7092;3685;1956;2690;10631;4093;3479;55589;3574;4958;1836;7476;5251;2113;3209;796","Ossification and bone remodeling"
"NImmune response_TCR signaling",-0.427550011935074,0,0,"998;1147;4773;4775;1493;2534;4690;5781;1432;4217;3708;920;5534;1386;7334;10892;6093;942;5594;941;9402;3688;10097;9475;597;5290;567;27240;3937;5966;3932;3676;926;915;919;29851;916;925;55824;5588;3558;940;959;3702;3458;5788;917;3604","TCR signaling"
"NCell adhesion_Platelet-endothelium-leucocyte interactions",-0.364583405533518,0,0,"1280;5781;4481;7058;2335;3673;5627;3949;1290;4322;80310;56034;5270;100506658;6347;3688;6352;1950;7048;4233;2811;1301;3791;3685;2814;1956;5156;6772;3676;6401;8832;3572;3082;2247;6403;6374;5055;4921;22915;7412;959;6402;2153;10666;2243","Platelet-endothelium-leucocyte interactions"
"NProteolysis_Ubiquitin-proteasomal proteolysis",-0.300307755280523,0,0,"7320;7428;26054;7347;5696;672;10197;5708;7874;5689;7322;7341;8777;573;6233;5700;5701;7319;9604;7415;5713;7328;5688;5698;5685;5686;867;4799;11065;10193;9861;9690;8405;5683;6612;5682;10213;51377;7336;2745;51182;7321;29843;23327;7844;8452;7323;7324;5887;51366;59343;4734;10210;5716;2033;5717;8065;6613;5684;5711;222484;3320;26994;64750;25820;10054;267;6477;7337;8453;11236;83737;5707;5706;56852;151636;57448;170302;79139;5687;51465;9101;7325;7334;23198;4193;5718;580;3416","Ubiquitin-proteasomal proteolysis"
"NCell cycle_G1-S Growth factor regulation",-0.281740164022408,0,0,"4089;8503;10140;1030;5898;3717;5599;5925;1021;2932;1147;6655;5291;324;890;5781;6654;1386;5578;4893;5594;6198;5521;1112;4193;2770;1950;2776;7048;3624;4233;10000;894;685;5290;5933;3791;1956;8900;7046;5966;2149;3479;5156;6772;6925;10818;3082;2247;5588;5579","G1-S Growth factor regulation"
"NInflammation_Jak-STAT Pathway",-0.426137548540884,0,0,"3456;1438;6387;9063;1271;3635;3717;9180;5618;8554;3459;6355;10254;9306;8835;122809;3977;3594;83737;3454;7852;2534;3597;5781;9655;3953;3570;5724;5617;80310;5594;29949;6356;56034;6347;50615;6352;1230;1950;1439;5290;1956;2690;4067;3479;5156;6772;3598;3572;1234;3574;3560;4049;7253;59067;1363;3561;3568;3559;6775;729230;3558;959;3593;3595;3458;6357;133396;3575;1081","Jak-STAT Pathway"
"NTransport_Potassium transport",-0.268621758783664,0,0,"27345;1261;84679;3742;6505;80036;3788;54714;3763;6558;3766;10242;123041;30820;10479;3782;10060;25769;3745;3751;90134;3736;57582;3746;3737;3761;1260;170850;3738;479","Potassium transport"
"NImmune response_Antigen presentation",-0.501808115990788,0,0,"3717;5716;5717;3309;30835;5684;2207;5711;2209;3459;3320;26985;7184;1147;2923;5707;7189;6890;634;3109;5687;920;80329;1385;3111;23198;353091;942;80328;821;941;2205;3113;3122;5718;1520;10332;1087;567;5966;6772;926;915;919;3117;8302;79465;29851;916;914;925;3809;3804;940;3821;3824;3811;3458;5788;910;3802;917;3805","Antigen presentation"
"NProliferation_Lymphocyte proliferation",-0.44186925068613,0,0,"1147;6655;5291;3594;3454;7852;2534;3597;4690;1432;6654;3708;1386;8809;9101;5578;942;5594;5074;6198;941;9402;50615;6352;2776;1439;6693;10000;894;5290;3937;6772;1794;919;1234;3574;3560;939;4049;59067;3561;29851;916;921;3568;3559;6775;5588;3558;940;959;3593;3595;5294;5788;3575;3604;151888","Lymphocyte proliferation"
"NCell adhesion_Leucocyte chemotaxis",-0.425474590967706,0,0,"5906;7852;2534;382;4690;6372;2833;3708;920;5336;1524;6093;942;5594;6356;941;6366;9402;817;6347;643;3688;6352;1230;2770;10672;2776;10097;9475;695;5290;6362;3680;3937;3932;1794;3676;5332;919;1234;6364;6374;914;10803;10663;6363;3627;1236;729230;7412;1233;940;1237;3702;6373;6357;4283;10563","Leucocyte chemotaxis"
"NCell adhesion_Cell-matrix interactions",-0.340704310497115,0,0,"7057;3910;7045;6443;7373;1101;22795;1281;1280;10894;3698;3915;2335;3673;8745;4811;3655;1303;8038;7130;6695;1290;4322;1404;7079;5646;3688;7078;1300;4325;3690;1634;1842;3685;3680;56999;4060;8082;1956;3676;2200;3908;6444;3672;9508;1462;8516;4312;6445;1286;952;2243;2515;90070","Cell-matrix interactions"
"NDevelopment_Blood vessel morphogenesis",-0.272742764223656,0,0,"3516;634;4690;5781;2296;51705;1432;2637;1902;2335;8828;9421;3939;5795;5578;10846;285;2004;8829;9429;5594;2308;8850;1230;2770;1950;5139;148;4233;284;5290;3791;2321;51752;9068;1956;1910;5966;2149;3084;6772;6401;5140;1909;2247;3240;3091;9353;5592;7412;2255","Blood vessel morphogenesis"
"NImmune response_Phagosome in antigen presentation",-0.334257052451783,0,0,"4843;23480;5641;5295;3106;5700;3108;7415;5713;5293;5688;5698;5685;5686;867;3678;5601;9861;4790;5683;54536;5682;10213;1457;6891;23236;7414;3326;51182;1398;1399;6850;2212;8503;9844;2;5898;5717;5599;3309;718;5684;2207;5711;2209;3320;7184;998;1147;4153;2923;5217;5291;5707;6890;382;4690;1432;2335;79139;3708;5687;5336;4478;5578;2357;23198;6093;2214;2206;5962;821;10640;2205;3688;3113;23233;3122;5718;1520;10097;9475;695;5290;3685;567;23471;4067;3937;5966;7099;3117;51454;2208;1380","Phagosome in antigen presentation"
"NProliferation_Positive regulation cell proliferation",-0.299553992480786,0,0,"2932;2012;998;6655;3977;5291;4659;5906;5587;5500;5781;6654;367;2833;1386;5573;8829;5594;821;864;6198;3688;4193;1230;2770;6997;1950;2776;1439;4233;9475;93649;685;5290;5743;2321;1378;1956;3479;3572;10818;5077;1234;3082;1909;2252;2247;10135;7253;3561;6374;4921;646;3359;3627;5294;2255;4842;133396","Positive regulation cell proliferation"
"NDevelopment_EMT_Regulation of epithelial-to-mesenchymal transition",-0.288104445742142,0,0,"2549;1398;1499;596;6498;8091;1399;1278;7082;4087;6591;4089;90;3717;1832;5599;5054;5728;6868;2932;998;1147;54778;4200;9075;1281;3516;5781;1432;2335;3673;5534;1386;1385;800;9076;1601;6093;80310;5594;100506658;999;3688;1000;50507;2770;1950;1588;3690;7048;4233;9839;5290;5743;6935;3685;1956;7046;3554;5156;6772;1794;4015;3572;10818;3082;1909;3987;2247;3091;2113","EMT"
"NApoptosis_Anti-Apoptosis mediated by external signals via PI3K/AKT",-0.317192940133352,0,0,"3716;332;1270;834;317;135250;2549;596;329;8660;3643;113;1399;840;3579;6850;2264;1438;22801;10018;1271;3717;5618;558;1147;6368;843;2534;8823;9965;1280;5781;2335;3673;6648;80329;353091;5573;5617;942;80328;941;2308;4193;2770;1950;2776;1439;148;4233;597;5922;5290;3791;2321;3685;1956;2358;3084;3479;5156;1234;3574;3082;2252;627;2247;8516;930;79465;3561;3559;3558;940;330;5294;2255;2668;1380","Anti-Apoptosis mediated by external signals via PI3K/AKT"
"NRegulation of metabolism_Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration",-0.341062557127287,0.02,0.145689373297003,"9965;6319;5465;51360;2308;4199;5290;2494;1582;3171;3170;7363","Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration"
"NInflammation_IL-2 signaling",-0.372378317596111,0.02,0.145689373297003,"5728;1147;4773;4775;5291;5781;3708;5336;5534;1386;5578;5594;6198;1230;597;894;5290;3932;356;3559;729230;3558;5788;3802;3805","IL-2 signaling"
"NInflammation_IL-4 signaling",-0.316159857379203,0.02,0.145689373297003,"2212;10018;3635;3717;54205;5728;2932;1147;5291;1493;3597;5781;942;2206;5594;6198;941;2205;6347;3113;3122;5290;3598;3117;3561;959;931;5788;2208;6373;6357","IL-4 signaling"
"NInflammation_MIF signaling",-0.317129459309614,0.02,0.145689373297003,"7189;983;890;3708;1385;3656;5578;9536;19;5573;5594;894;5743;8900;5966;7099;5321;5332;2908;4312;2113;7412;3558;3458","MIF signaling"
"NCell cycle_G1-S Interleukin regulation",-0.271892012279717,0.02,0.145689373297003,"3718;5934;6667;3586;3553;331;3716;3587;8660;8503;10140;1030;5898;5599;5925;3552;1021;2932;1147;6655;5291;7189;890;5781;1432;6654;1386;4893;5594;6198;4193;10000;894;5290;5933;8900;5966;3554;6772;3561;3559;3558","G1-S Interleukin regulation"
"NDNA damage_Checkpoint",-0.26995475454899,0.02,0.145689373297003,"3364;5983;7532;993;5608;5985;10111;4790;5810;995;5604;11073;3162;545;2547;5885;5981;25847;8243;2177;9937;7529;472;7520;9874;5599;7533;9133;1021;11011;9126;7534;5591;983;890;1432;64682;996;10971;1386;7398;641;4683;63967;5594;1112;4193;580;904;894;8900;55183;83990","Checkpoint"
"NProteolysis_Connective tissue degradation",-0.281584162023283,0.02,0.145689373297003,"1215;1281;1280;2335;8728;8745;4811;5547;8038;6695;4322;7079;5270;5646;7078;4325;1519;56999;4060;4012;50859;9508;1803;4312;5055;2208;2243;2515","Connective tissue degradation"
"NDevelopment_Neurogenesis_Axonal guidance",-0.221505047234509,0.02,0.145689373297003,"56288;8633;6868;998;6477;5125;6197;29116;5906;2534;7189;10787;27185;4690;6585;2043;8828;3708;6386;3673;8826;8745;1385;3655;5578;6093;5573;8829;1809;5594;3688;56142;1000;1826;2042;10097;9475;5290;102;9723;9806;2334;627;6091;10154;10371;6403;1630;6092;2045;9353;9615;223117;5649;117;5457;56896","Neurogenesis"
"NAutophagy_Autophagy",-0.326968189932431,0.04,0.23752998667259,"9474;1612;353376;596;8660;3643;64422;9821;7097;81631;30849;5289;5728;10333;7098;5290;7096;7099;51284;51311","Autophagy"
"NDevelopment_Cartilage development",-0.341173108406889,0.04,0.23752998667259,"1278;4087;4089;1297;90;2033;6670;4090;4086;860;1101;1281;1280;2335;657;1303;4322;864;659;3624;1301;3685;4093;2200;3458","Cartilage development"
"NSignal Transduction_Cholecystokinin signaling",-0.298591471308248,0.04,0.23752998667259,"2932;1147;6655;11214;5125;6197;1432;3708;5336;1386;1385;5578;885;5573;9252;5594;2770;10672;2776;5922;51196;5290;5332;10818;2247;886;5579;5126","Cholecystokinin signaling"
"NCell adhesion_Integrin priming",-0.291337970967835,0.04,0.23752998667259,"5728;6655;5291;1281;7852;1280;6654;2335;3708;3673;5336;5594;817;3688;2770;3690;5290;3685;3680;2149;3676;5332;3672;8516;5294;2243","Integrin priming"
"NSignal transduction_CREM pathway",-0.270695893142587,0.04,0.23752998667259,"2117;675;1595;9457;983;890;168448;1386;1385;5573;5594;1950;1588;894;1956;919;5873;7253;356;3568;5732;814;3558;4842;1081","CREM pathway"
"NCell cycle_Core",-0.297039865183441,0.04,0.23752998667259,"1058;332;5885;10926;9183;23468;1871;1030;5422;10403;4175;7150;701;9133;1062;8317;5925;1021;6790;983;64151;64682;7486;26271;10592;699;999;4085;55388;8556;1875;5933;9134;8900","Core"
"NInflammation_Neutrophil activation",-0.255374152233732,0.04,0.23752998667259,"3708;5465;1386;5062;5578;1524;2357;6093;5594;6347;50487;2770;10097;9475;695;5290;2358;5966;5321;6401;5332;5337;3560;4049;1536;6403;6374;3559;26279;3558;3458;5579","Neutrophil activation"
"NSignal transduction_WNT signaling",-0.243280340393643,0.04,0.23752998667259,"5604;6424;5515;5532;8321;5530;5934;6667;1457;7039;4316;332;801;23236;1499;5516;1456;1452;6591;23118;8626;673;5599;4040;2719;7474;5728;2932;5583;7471;324;890;2296;1432;2335;3708;1385;5578;89780;5573;5597;5576;817;23002;2770;1950;2776;7048;9475;7472;894;5743;7855;1956;7046;6925;5077;9590;7476;3170;51384;5579","WNT signaling"
"NCell adhesion_Cadherins",-0.243011826206383,0.04,0.23752998667259,"1830;7474;5728;2932;998;667;1824;5099;5906;7471;22943;2534;1012;324;5781;8641;8727;8826;5795;11075;5578;89780;1601;2195;999;3688;56142;1000;1009;1004;4233;10097;7472;5290;342184;1956;2241;54510;1825;7476;27123;1828;5803;1005;5649;1823;5579;1008","Cadherins"
"NDevelopment_Regulation of angiogenesis",-0.239411827305671,0.04,0.23752998667259,"7082;3579;4800;4087;4089;7857;9037;23118;3717;1946;5054;154796;3552;1147;7057;3156;7852;7189;6678;634;4690;5781;1432;2043;5727;3708;3953;1385;8809;5578;10892;5594;821;51360;6347;2308;3688;1000;8850;1230;2770;7048;284;93649;5290;6935;3791;2321;1956;1910;7046;5966;3554;6772;3676;1909;3091","Regulation of angiogenesis"
"NReproduction_Male sex differentiation",-0.210531126234893,0.04,0.23752998667259,"1432;6654;367;5727;4824;657;1386;1385;5049;2706;5578;23304;10983;5573;9252;3306;5594;5074;8031;5610;659;3688;1950;2776;7048;79400;894;1761;1956;8900;7046;3479;5156;3676;3082;2252;939;6658;2247;1213;6403;5367;5079;1618;5579","Male sex differentiation"
"NInflammation_IL-10 anti-inflammatory response",-0.282588023362941,0.06,0.30752300613497,"8554;3552;1147;5291;7189;890;1432;355;4322;6198;894;5290;3394;7099;6772;356;3593;3458","IL-10 anti-inflammatory response"
"NDevelopment_Neuromuscular junction",-0.254798660587437,0.06,0.30752300613497,"998;6655;3910;6443;2534;1756;324;3915;6654;5336;1143;5578;8973;7402;5594;3688;2776;51196;3084;5332;3908;6444;5028;6445;1286;1138;5579;1137;55584","Neuromuscular junction"
"NInflammation_TREM1 signaling",-0.27919537956188,0.06,0.30752300613497,"1147;4773;5291;7534;7189;1432;6654;3708;10971;5336;5534;3656;942;5594;3556;6347;3688;4193;23643;10000;5290;4208;3394;3554;7099;3676;4118;3558;3593;3458","TREM1 signaling"
"NReproduction_GnRH signaling pathway",-0.255171830210177,0.06,0.30752300613497,"5781;1432;6654;367;3708;3953;1386;1385;2917;5578;9536;5573;5594;2770;1950;2918;5290;5743;1956;3554;5321;6401;5593;2558;10257;2556;5592;117;5579;2555;1081","GnRH signaling pathway"
"NProliferation_Negative regulation of cell proliferation",-0.223484550014938,0.06,0.30752300613497,"7077;2549;596;10933;8804;5928;3456;4763;1030;10006;3717;9180;673;29883;4869;10457;5925;3552;3459;10668;6655;8453;6368;3454;10741;5906;7189;4286;5781;6654;3570;5594;5610;4193;8850;1230;2770;7048;148;5290;5743;3791;6753;7046;8493;3554;3479;6772;3572;5629;2113;5294;4842;3458","Negative regulation of cell proliferation"
"NResponse to hypoxia and oxidative stress",-0.258852066408163,0.08,0.360782726045884,"5601;5052;2877;4790;3162;6667;545;10549;2745;3326;4780;54583;472;27306;8626;5599;2746;2882;4869;1147;51;196;1432;367;4217;2729;6648;1386;2747;2730;2936;5594;5743;653509;7296;6403;3091;2939;2940","Response to hypoxia and oxidative stress"
"NApoptosis_Death Domain receptors & caspases in apoptosis",-0.255445724892573,0.08,0.360782726045884,"5074;7078;84674;8477;8743;10114;695;838;939;4049;356;1630;959;330;3002;9437;3604","Death Domain receptors & caspases in apoptosis"
"NImmune response_Innate immune response to RNA viral infection ",-0.333314196763096,0.1,0.408402077604644,"11213;3456;23586;23118;2033;1965;1147;843;3454;7189;29110;6059;64135;6356;5610;7098;6772;6401;51284;51311;6364;3627;6373;3620","Innate immune response to RNA viral infection "
"NNeurophysiological process_GABAergic neurotransmission",0.381811666538317,0.1,0.408402077604644,"2566;2890;80086;2550;347688;6804;347733;2902;10381;7278;3265;107;112714;112;18;3760;4858;774;1759;6616;773;113457;815;6844;79861","GABAergic neurotransmission"
"NTranscription_Nuclear receptors transcriptional regulation",-0.240678016045355,0.1,0.408402077604644,"6655;9282;7337;9412;892;7189;1432;8648;355;6654;367;135112;9321;5465;10891;3656;5573;5594;8031;8850;1950;9975;10499;1956;7046;3554;5156;2908;8202;9969;3174;356;6096;8013;4919;190","Nuclear receptors transcriptional regulation"
"NInflammation_IL-12,15,18 signaling",-0.290265007974296,0.12,0.451587837837838,"466;3717;57161;5599;1147;3594;7189;1386;1385;8809;6772;6775;3593;3595;3458","IL-12,15,18 signaling"
"NCytoskeleton_Intermediate filaments",0.341523923072822,0.12,0.451587837837838,"3798;80086;347688;8419;2670;5630;1674;347733;3855;10381;3880;7278;64780;3872;2125;3861;112714;9118;4000","Intermediate filaments"
"NCell cycle_S phase",-0.218238613361777,0.12,0.451587837837838,"5885;10926;5981;8208;54107;8243;23468;472;5422;2033;9874;4175;7150;5427;9133;8317;3320;23244;675;11011;9126;196;983;890;64682;7486;5558;26271;79075;5557;699;4683;5597;999;55388;8850;8556;8900;83990","S phase"
"NNeurophysiological process_Transmission of nerve impulse",0.31696617607913,0.12,0.451587837837838,"2566;2890;2742;1813;6323;1815;2564;11255;2891;2913;153;1742;2916;2567;3358;3777;3354;2914;3780;2901;151;9001;2902;9478;107;152;7054;8484;3749;1621;6326;2906;6511;2895;5575;9463;5605;18","Transmission of nerve impulse"
"NImmune response_Phagocytosis",-0.239531676106399,0.12,0.451587837837838,"23236;7414;653361;1398;1399;6850;2212;8503;9844;4638;5599;718;2207;961;2209;998;1147;4644;4153;5217;5291;4690;1432;4481;2335;64581;3708;5336;4478;5578;6093;2214;2206;5962;2205;4082;3688;4360;10097;9475;695;5290;3685;1378;4430;4067;3937;5966;7099;1536;2208;5579;1380","Phagocytosis"
"NCell adhesion_Integrin-mediated cell-matrix adhesion",-0.236045683975873,0.12,0.451587837837838,"2932;998;5217;5291;3910;65059;7373;1281;2534;6678;1280;9404;2335;3673;5336;4478;3655;10979;5578;6093;5962;5594;3688;3690;1634;10097;9475;5290;3685;3680;10631;3676;963;2200;3908;4958;3672;3987;8516;22915;7103;2243","Integrin-mediated cell-matrix adhesion"
"NSignal transduction_Oxytocin signaling",-0.315772246990291,0.14,0.482314432989691,"3708;5578;9536;6093;5594;9475;5743;4208;1956;5321;5737;5592;4624;4842;5579","Oxytocin signaling"
"NSignal transduction_ESR1-membrane pathway",-0.251421207595182,0.14,0.482314432989691,"8648;367;1385;4478;8038;5573;5594;2770;1950;10672;2776;9475;894;5290;1956;3084;3479;8202","ESR1-membrane pathway"
"NApoptosis_Endoplasmic reticulum stress pathway",-0.265178761640029,0.14,0.482314432989691,"8661;7494;4790;51347;836;5530;317;9695;596;8663;840;4800;10018;54205;3309;1965;10130;7184;1983;1147;4773;22926;5611;1432;355;4217;79139;3708;6648;9709;51360;9451;356;10595","Endoplasmic reticulum stress pathway"
"NImmune response_Th17-derived cytokines",-0.258356809923939,0.14,0.482314432989691,"9536;116379;4322;5594;6356;8600;6347;5290;5743;6772;6364;59067;6374;4312;3593;6373;4283","Th17-derived cytokines"
"NInflammation_Kallikrein-kinin system",-0.23342460994888,0.14,0.482314432989691,"2;5742;27306;2157;5054;718;1370;2773;1147;5291;7512;5781;1432;3708;5336;1386;59272;9536;5594;2770;2162;5290;5743;5321;5332;1803;5294;4842;2153;2244;2266;2243","Kallikrein-kinin system"
"NTransport_Calcium transport",0.317206171328228,0.14,0.482314432989691,"2890;778;2550;8911;9381;7442;7221;487;782;8989;844;30818;6543;57053;491;1742;112755;5310;3208;7352;5553;2902;9478;117155;6279;4282;784;1146;8996;59341;7226;8912;117144;347732;776;1145;793;10316;7224;283652;6263;5957;79054;6469;774;1140;5582;93129;57192;1135;59283;773","Calcium transport"
"NSignal Transduction_BMP and GDF signaling",-0.240479599051222,0.16,0.509097833849084,"4089;7528;10140;92;90;23118;2033;1021;4090;64750;4086;25928;860;1280;657;1386;1385;5594;659;6997;7048;1378;7046;4093;3479;26585","BMP and GDF signaling"
"NSignal transduction_Androgen receptor nuclear signaling",-0.221555631442364,0.16,0.509097833849084,"2547;27347;801;857;1499;8204;8754;57786;7520;2033;8837;5925;3320;10463;5728;6868;7110;675;6197;23411;10481;983;1432;8648;367;5594;5074;8031;4193;8850;10499;10513;102;5966;2149;2289;8202;190;4246","Androgen receptor nuclear signaling"
"NReproduction_FSH-beta signaling pathway",-0.232714227797909,0.16,0.509097833849084,"1499;10468;8660;5901;4087;4089;1390;10140;92;90;1977;7052;26060;4086;1147;25928;5087;6197;1432;3708;3206;10971;1386;1385;5573;5594;6198;2308;5673;2770;1588;7048;3624;894;5290;1761;1956;7046;3479;2491;6772;2494;3091;190;1081","FSH-beta signaling pathway"
"NCytoskeleton_Actin filaments",-0.200647353622776,0.16,0.509097833849084,"1997;7414;9788;1398;1729;6708;286;57381;6387;4638;2037;829;288;137868;3983;23136;998;4644;11034;667;5217;10529;6443;4739;5756;2534;1756;4690;4478;10979;10096;6093;5962;7402;5594;23002;1730;10097;9475;9113;342184;4430;7456;6444;6445;5592","Actin filaments"
"NDevelopment_Hedgehog signaling",-0.197109914223788,0.16,0.509097833849084,"3320;2774;4090;7474;4086;6868;2932;2773;7545;5291;4200;5087;83737;648;23411;3239;3516;2296;2637;367;5727;1385;8323;1601;6093;5573;659;5576;2770;10672;3690;3624;8445;9475;6935;7855;8900;6925;10818;5077;6657;6658;1750;646;26585;4919;3170;7850;5453;3209;5294;2304;5079","Hedgehog signaling"
"NProtein folding_ER and cytoplasm",-0.309243477394813,0.18,0.543988243273796,"1457;2745;9695;51182;3312;3309;3320;11231;22926;5611;821;8850;2289;7253;1047","ER and cytoplasm"
"NCell cycle_G0-G1",-0.256401587949546,0.18,0.543988243273796,"5928;4800;1871;5495;1030;9734;5618;5925;1021;2932;892;5906;983;5494;64682;5911;5465;5617;999;1875;5933","G0-G1"
"NProteolysis_Proteolysis in cell cycle and apoptosis",-0.261576468979301,0.18,0.543988243273796,"834;10393;25847;329;25793;840;26269;5663;114769;11274;26235;51138;8837;26224;26273;1075;843;7189;10730;1513;983;9318;64682;996;26271;7334;10892;1540;999;1520;102;838;51191;3001;3003;330;3002;5275","Proteolysis in cell cycle and apoptosis"
"NApoptosis_Anti-Apoptosis mediated by external signals by Estrogen",-0.25056113782644,0.2,0.576039646627882,"1432;4217;6648;1385;5578;5594;2776;5290;1536;5592;330;4842","Anti-Apoptosis mediated by external signals by Estrogen"
"NInflammation_Protein C signaling",-0.233364063723341,0.2,0.576039646627882,"2157;5054;3552;1901;1147;7189;1902;3708;5627;3656;6093;5594;5646;2770;10672;10097;9475;2150;5966;2149;7099;5332;2153","Protein C signaling"
"NProteolysis_ECM remodeling",0.326893412129719,0.2,0.576039646627882,"7448;1991;11093;354;4326;84623;2161;3817;4317;80332;140766;56547;25818;80781","ECM remodeling"
"NNeurophysiological process_Visual perception",0.350010749487842,0.2,0.576039646627882,"1417;778;5076;10002;6295;25794;6010;5630;5959;5995;2979;6094;9478;6496;8787;1415;6011;3859;7439;5957;1410;1382;1409;4901;5158;94233;1414","Visual perception"
"NApoptosis_Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT",-0.189635230883143,0.2,0.576039646627882,"331;3716;332;834;23236;2549;1398;596;329;1399;840;6850;1438;10018;3717;673;5599;5618;998;9774;6197;2534;7189;983;3708;6648;1386;1385;5578;5573;5617;9252;80310;5594;56034;5610;2770;2776;597;5290;5743;4067;5156;7099;6772;3574;3561;330;5294;117","Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT"
