"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NInflammation_TREM1 signaling",-0.526111190059184,0,0,"3554;7099;958;8503;3676;64127;3383;3394;7535;7305;6354;3689;9308;3569;6347;3553;6348;3684;942","TREM1 signaling"
"NInflammation_Innate inflammatory response",-0.484908510799386,0,0,"7018;51752;4793;7100;4791;3665;2152;3554;7099;5588;10010;26525;9536;5321;6364;8808;695;6373;3569;3553;4843;3552;3627;5743","Innate inflammatory response"
"NMuscle contraction",0.509868038075668,0,0,"4624;4625;4604;3784;1180;5348;3270;8557;1760;5350;844;51083;84676;1145;2281;3745;6546;1410;2979;88;10052;782;1134;1742;624;8910;6442;226;1909;6444;3757;3778;6915;2697","Muscle contraction"
"NTranslation_Elongation-Termination",0.514613523491011,0,0,"6194;6223;6168;6132;6122;29118;9669;57176;79048;6199;6208;6170;6206;6165;6169;6130;1933;6029;6227;23521;6234;23708;6173;29904;6229;6233;6217;6731;6222;6161;6202;6164;6204;6189;3643;6146;6726;6141;6895;9349;6232;6230;6147;6152;6167;6209;10399;6231;6157;3658;6133;4736;25873;55802;6137;6155;6158;6218;6156;6154;6176","Elongation-Termination"
"NDevelopment_Neurogenesis_Synaptogenesis",0.471428073872736,0,0,"4900;6855;4916;7058;1822;54510;627;9240;4340;9378;4915;8927;2048;23025;774;5121;2891;1742;26059;2904;201294;2247;9229;7224;815;10716;6334;1740;2049;2066;6861;9223;57596;1855;9215;2047;6857;1947;4909;6843;375790;4035;1948;348;145957;8500;8497","Neurogenesis"
"NInflammation_Jak-STAT Pathway",-0.550246384508589,0,0,"6352;23624;3716;8835;122809;1440;6387;3595;3572;3605;3635;1438;958;6772;185;3976;3481;1271;1436;1234;3598;5008;3561;3560;7852;3689;50615;5328;5329;5724;3569;1230;3587;6347;3559;3575;1439;6348","Jak-STAT Pathway"
"NTransport_Calcium transport",0.543720137556034,0,0,"28954;6279;7352;3270;491;5350;844;775;8913;1258;1145;5582;123041;64094;2054;776;7226;6546;7222;8996;774;10052;777;30818;782;1134;1742;9478;5954;2550;493;492;7224;4313;5310;1135;8911;27039","Calcium transport"
"NImmune response_Antigen presentation",-0.588209468288681,0,0,"10131;10437;3309;3460;3133;6892;567;4793;3716;5698;3111;4791;1520;563;3824;958;6772;3384;6890;3383;941;920;917;3683;916;919;914;5788;972;940;3122;925;4261;926;29851;4843;3684;942","Antigen presentation"
"NInflammation_Histamine signaling",-0.441771175468631,0,0,"9536;7454;5321;4688;1536;6364;3383;3394;111;4689;5740;196883;26279;3569;6347;3553;4843;3627;6348;5743;942","Histamine signaling"
"NCell adhesion_Platelet-endothelium-leucocyte interactions",-0.468486335958908,0,0,"7056;2161;960;9289;7057;1440;2159;3572;958;6772;5627;6402;3676;968;3383;1280;3683;8832;948;3689;5340;6404;5328;5329;10666;3569;3791;971;4973;6347;3553;6348;3684","Platelet-endothelium-leucocyte interactions"
"NCell adhesion_Cell-matrix interactions",0.47931821154073,0,0,"1305;2202;7130;80332;2006;4237;1463;1277;3371;4060;9509;50509;22801;1634;6441;140766;170689;1289;9313;1101;4316;8515;3679;1281;2200;3694;2201;7143;1307;8910;10516;3911;56999;6442;7045;11117;6444;4313;8082","Cell-matrix interactions"
"NInflammation_Neutrophil activation",-0.521263219735953,0,0,"8503;3384;5321;4688;1536;3383;7409;111;8061;695;3386;4689;3560;5880;196883;3689;26279;6404;3569;6347;3559;4843;3684","Neutrophil activation"
"NCell cycle_G1-S",-0.401823004770279,0,0,"7298;10987;8945;51433;8454;4616;999;5682;7531;8452;11200;9039;7316;9318;5933;26271;8556;996;1017;7533;10971;4794;7534;3839;5111;10950;3836;2177;4793;7398;5925;2114;3838;1869;5888;898;983;1164;29128;5347;1033;4751;4605;890;1493;586","G1-S"
"NImmune response_TCR signaling",-0.58788995757772,0,0,"2533;4791;58;27040;5588;3932;7454;3384;3676;3937;3383;9402;7409;941;920;917;3683;8631;7535;916;919;1493;3689;5788;7185;940;3702;925;926;29851;597;4843;942","TCR signaling"
"NCell adhesion_Leucocyte chemotaxis",-0.734852374131048,0,0,"27040;58191;84617;6387;3932;7454;3384;10663;3676;6364;7087;3937;3383;9402;7409;1234;10672;1233;10381;10563;941;920;8631;7535;695;4283;2833;3386;919;6372;6354;5880;914;7852;6369;3689;6373;940;3702;1230;6347;347733;3627;6348;942;1236;6361;6367","Leucocyte chemotaxis"
"NApoptosis_Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT",-0.386812903378055,0,0,"6773;329;9774;7189;1385;8915;5879;9021;5618;6648;2885;6197;5610;3716;23533;7099;602;9846;5292;1438;6772;2322;983;330;332;7409;135;3561;5294;597;5743;4914","Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT"
"NProliferation_Negative regulation of cell proliferation",-0.389810133065416,0,0,"5777;7048;7046;8453;2885;10950;5610;5906;5925;23533;3554;5629;9846;199;3572;4084;6772;8519;898;148;2113;990;5008;5294;3569;3791;1230;3553;3552;5743","Negative regulation of cell proliferation"
"NProliferation_Lymphocyte proliferation",-0.608333615707634,0,0,"5588;6387;3595;151888;958;6772;921;3937;1961;9402;7409;1234;941;7535;916;3561;919;5294;3560;7852;5788;8764;940;50615;29851;3587;3559;3575;1439;6348;942","Lymphocyte proliferation"
"NImmune response_Phagocytosis",-0.460758793071421,0,0,"3688;5970;7430;2934;87;10097;2268;10451;5879;71;60;653361;5777;4794;2885;4478;4793;4360;2206;5962;4644;2533;4791;58;27040;7099;89;7454;8503;9844;4688;1536;3937;7409;135;10859;695;4689;948;3055;3689;64581;4843;3684","Phagocytosis"
"NReproduction_Progesterone signaling",-0.390258429829319,0,0,"5868;1385;3337;22937;5451;8379;1950;122953;203068;2885;113457;994;2554;59343;84617;6424;5140;983;699;1164;891;9133;3638;5347;991;4085;10381;890;5021;6013;5452;347733;4843;5743","Progesterone signaling"
"NApoptosis_Anti-Apoptosis mediated by external signals via PI3K/AKT",-0.459843106486525,0,0,"602;9846;3084;1438;148;2322;1271;330;5366;332;558;10870;1280;1234;2263;941;8061;7305;3561;5294;940;3569;3791;597;3553;3559;1439;4843;6348;942;4914","Anti-Apoptosis mediated by external signals via PI3K/AKT"
"NCell cycle_Mitosis",-0.550056949987352,0,0,"22919;1104;996;7533;79980;3619;57082;8379;55743;60;829;203068;3839;84612;113457;9735;3836;5610;994;11004;10592;10982;58;3838;84617;983;699;9493;4739;899;1063;259266;701;332;891;9133;22974;1058;5347;10403;991;83540;3835;4085;4751;7272;9212;10381;3832;55872;25936;347733","Mitosis"
"NDevelopment_Regulation of angiogenesis",-0.436734374580707,0,0,"7057;3554;1839;7026;1191;6772;185;3676;70;290;51129;7852;5340;5329;3569;3791;1230;6347;3553;4843;3552","Regulation of angiogenesis"
"NProliferation_Positive regulation cell proliferation",-0.425601802769093,0,0,"10135;994;5906;3716;1464;5925;2254;1440;9846;3572;1438;898;2322;3976;1436;1234;2263;8061;246;4145;2833;3561;5294;864;1230;8817;1439;3627;5743","Positive regulation cell proliferation"
"NInflammation_IL-2 signaling",-0.417308087783365,0.02,0.135781938325991,"5777;4794;4773;2885;5728;4793;3716;5925;4791;3932;5788;1230;597;3559;4843","IL-2 signaling"
"NCell cycle_Meiosis",-0.423025356881278,0.02,0.135781938325991,"1017;7533;1950;10971;5378;7534;203068;6478;4436;4361;113457;4155;84617;5892;5888;8438;983;891;5347;991;4751;10381;347733","Meiosis"
"NDevelopment_Neuromuscular junction",0.503061943517406,0.02,0.135781938325991,"6855;1145;5582;4684;1134;8910;6655;3911;6442;51196;6444;5913;1135;2066;8292;3910;9223;1855;3909;3913;5602;3915;1143;1285;1140;7402;5599;6843;5335;375790","Neuromuscular junction"
"NCell cycle_G1-S Interleukin regulation",-0.430339135475728,0.02,0.135781938325991,"4793;3716;5925;4791;3554;1869;8503;6772;898;890;3561;3587;3553;3559;4843;3552","G1-S Interleukin regulation"
"NCell cycle_S phase",-0.408796410188319,0.02,0.135781938325991,"3978;10910;11200;5424;6117;28984;7316;5557;8099;4171;26271;8556;63922;1017;5001;5982;79075;10714;2237;3009;8318;23594;5111;23649;8208;4174;4172;84515;4175;4173;1869;5888;898;51053;983;699;891;9133;5347;990;5427;4998;4751;55388;890","S phase"
"NTranslation_Translation initiation",0.434680810055349,0.02,0.135781938325991,"6194;6223;6168;6132;6122;9669;6208;6170;6206;6165;6169;6130;6227;23521;440275;6234;6173;6229;6233;6217;6222;55505;6161;6202;6164;6204;26019;27335;6189;6146;6141;9349;6232;6230;6147;6152;6167;23369;6209;10399;6231;6157;6133;4736;25873;6137;6155;8669;6158;6218;6156;6154;6176","Translation initiation"
"NDevelopment_Blood vessel morphogenesis",-0.38821424573349,0.02,0.135781938325991,"23493;136;2888;6387;1839;8828;3084;5140;6772;148;9068;51129;3383;54567;135;7852;5340;3791;1230;1901;3553;4843;3552","Blood vessel morphogenesis"
"NImmune response_Phagosome in antigen presentation",-0.376688527419049,0.02,0.135781938325991,"29927;5683;81;5720;79139;387;718;9601;5058;9491;2207;5682;5717;7184;5721;10197;4067;5331;4790;5708;1432;5711;23471;5641;2923;7415;3688;5970;7430;2934;10213;87;5707;10097;821;2268;5879;71;60;382;5777;4794;10640;2885;3309;4478;6892;567;4793;5698;2206;5962;2533;4791;54536;58;27040;7099;89;1520;7454;8503;4023;9844;6890;3937;7409;695;3055;972;3122;4843;3684","Phagosome in antigen presentation"
"NCytoskeleton_Regulation of cytoskeleton rearrangement",-0.331191766146867,0.04,0.220259044216168,"7430;2934;87;7533;10097;6708;10451;5879;60;382;829;7534;203068;84612;113457;10096;5728;4478;5906;1997;81624;5962;58;960;84617;89;6387;89846;7454;9844;70;4739;27289;23092;221472;5347;7431;7409;10381;1894;397;347733","Regulation of cytoskeleton rearrangement"
"NSignal transduction_Neuropeptide signaling pathways",0.53081489648667,0.0600000000000001,0.286720930232558,"181;8620;1363;51083;256933;6752;796;11318;117;1742;5368;5581;5443;5310;23266;6869;283869","Neuropeptide signaling pathways"
"NProteolysis_Connective tissue degradation",-0.39236155931062,0.06,0.286720930232558,"1280;5265;2331;2515;5340;8745;5328;5329;4321;8728;1803;6590","Connective tissue degradation"
"NCardiac development_BMP_TGF_beta_signaling",0.455513512098122,0.0600000000000001,0.286720930232558,"4624;4625;5350;8854;775;3397;5175;6885;3399;2099;6909;6591;654;5581;652;4092;23125;655;3624;7049;4619;6662;55553;90;4091;7042","BMP"
"NCell cycle_G2-M",-0.33543800173307,0.06,0.286720930232558,"1104;996;7533;3619;1950;10971;3009;4001;7534;2885;51512;2177;994;10592;2114;5888;983;3481;699;1164;10733;701;891;9133;5347;991;3835;4085;4751;11065;9212;890;3832;914","G2-M"
"NSignal transduction_CREM pathway",-0.382749456215194,0.08,0.337088174982912,"2820;3623;2117;1390;1595;814;983;968;890;5734;919;4914","CREM pathway"
"NCell adhesion_Glycoconjugates",-0.32579090058534,0.08,0.337088174982912,"58;960;84617;6387;3959;6402;6364;1436;1015;3161;10381;7535;5788;6404;6347;347733;1439;3627;4914","Glycoconjugates"
"NCell adhesion_Attractive and repulsive receptors",-0.301625883488541,0.08,0.337088174982912,"84617;8828;23129;8503;3384;7087;3383;27289;10381;6585;3683;3386;5294;3689;971;347733;3684","Attractive and repulsive receptors"
"NSignal transduction_Oxytocin signaling",-0.486619911944058,0.1,0.385763454317898,"1839;9536;5321;5021;4843;5743","Oxytocin signaling"
"NInflammation_IL-12,15,18 signaling",-0.449628091258439,0.12,0.423919770773639,"5970;7189;10068;1385;7186;57161;3716;4791;3595;6772;8061;4843","IL-12,15,18 signaling"
"NReproduction_GnRH signaling pathway",-0.361567980021953,0.12,0.423919770773639,"3554;1839;9536;1438;5321;5734;5740;3553;4843;5743","GnRH signaling pathway"
"NCytoskeleton_Cytoplasmic microtubules",-0.313064968879422,0.12,0.423919770773639,"7534;203068;113457;2009;3925;10982;81624;4644;10112;84617;983;9493;3798;7431;10381;347733","Cytoplasmic microtubules"
"NDevelopment_ERK5 in cell proliferation and neuronal survival",-0.451470520523062,0.14,0.460159957344708,"1385;22937;4209;6197;3932;4914","ERK5 in cell proliferation and neuronal survival"
"NProteolysis_Proteolysis in cell cycle and apoptosis",-0.320752347335307,0.14,0.460159957344708,"8533;10920;26190;7334;9020;50813;26269;51107;246184;351;25793;10987;8945;51433;8454;10393;999;26270;9039;9318;836;102;26271;51138;329;7189;996;7064;8837;824;1520;898;3001;983;330;891;991;11065","Proteolysis in cell cycle and apoptosis"
"NDevelopment_Hemopoiesis, Erythropoietin pathway",-0.289729578742102,0.16,0.492175648702595,"4893;5970;8651;1017;5879;9021;5777;2885;5906;4791;5063;9846;5292;3635;8503;6772;898;7409;890;695;5294;4843","Hemopoiesis, Erythropoietin pathway"
"NNeurophysiological process_Olfactory transduction",0.711434165632131,0.18,0.520943661971831,"1258;109;5999;815","Olfactory transduction"
"NNeurophysiological process_Taste signaling",0.657051410623272,0.18,0.520943661971831,"5030;80835","Taste signaling"
"NCytoskeleton_Macropinocytosis and its regulation",-0.345087676588345,0.18,0.520943661971831,"87;5868;10097;1950;5879;60;382;203068;2885;113457;84617;5140;7454;1436;7409;10381;347733;4914","Macropinocytosis and its regulation"
"NSignal transduction_WNT signaling",-0.292194254619069,0.18,0.520943661971831,"7855;960;6423;6424;1839;1869;898;332;2719;891;7431;111;890;7476;8061;5329;5743","WNT signaling"
"NDevelopment_Ossification and bone remodeling",0.389262474428967,0.2,0.55027895559027,"60529;10631;6696;1009;8646;1277;3487;6885;10220;796;51176;1747;50846;860;165;2550;654;56172;4982;652;649;10413;4092;5744;655;3624;1855;7291","Ossification and bone remodeling"
"NProtein folding_ER and cytoplasm",0.480450699267996,0.22,0.576366340841479,"3320;2289;3303","ER and cytoplasm"
"NDevelopment_Cartilage development",0.455341624643887,0.22,0.576366340841479,"1277;1302;4256;1301;1101;1281;2200;860;6660;654;652;649;4092;7067;3624;6662;11061;55553;90;4091;1298","Cartilage development"
"NApoptosis_Apoptotic nucleus",-0.294617979530602,0.22,0.576366340841479,"28996;9039;836;5071;85329;2547;7520;6789;5970;23368;5879;3009;5074;4001;8453;6478;5610;2177;1773;84883;59343;4791;3663;3148;1869;580;1191;9844;5888;3001;64135;4605;1776;4843","Apoptotic nucleus"
"NCell adhesion_Integrin priming",-0.321330949279705,0.24,0.601170255993498,"2885;5728;824;23533;58;6387;8503;185;3690;3676;1280;3683;5294;7852;3689","Integrin priming"
"NReproduction_Gonadotropin regulation",-0.297019791906456,0.24,0.601170255993498,"3554;1839;9536;1438;5321;5734;5740;3553;4843;5743","Gonadotropin regulation"
"NDNA damage_Checkpoint",-0.323054722177759,0.24,0.601170255993498,"51433;5985;11011;4616;995;7531;11200;4790;1432;7316;467;2547;7520;996;1017;7533;5982;10971;7534;5111;4361;2177;3014;994;7398;1869;3162;55723;580;898;983;891;9133;890","Checkpoint"
"NDevelopment_Neurogenesis in general",0.3844816297929,0.24,0.601170255993498,"6493;5455;1270;474;238;5270;2674;50846;5026;53358;7474;26468;2676;5454;30812;2290;4010;8851;64096;9118;4884;2535;6196;3213;134;10763;5087;3624;1855;9935;2321;5764;2770","Neurogenesis in general"
"NApoptosis_Apoptotic mitochondria",-0.319458810853793,0.26,0.62964839913573,"9927;79370;578;637;4170;51283;573;8844;207;666;7009;64112;8767;54205;4976;9531;23645;9774;8678;7533;9131;1080;8915;2745;5366;597","Apoptotic mitochondria"
"NSignal Transduction_BMP and GDF signaling",0.38849977140136,0.26,0.62964839913573,"6696;8646;26585;10272;3397;6885;860;654;652;4092;655;23118;6662;64750;3065","BMP and GDF signaling"
"NCell adhesion_Cadherins",0.350703691642605,0.26,0.62964839913573,"27123;11075;1009;54510;5317;10076;10023;11197;51176;88;56112;1000;7474;51807;1013;667;9231","Cadherins"
"NCell cycle_G1-S Growth factor regulation",-0.249872269763932,0.26,0.62964839913573,"7048;4794;7046;2885;4793;3623;5925;2254;4791;3659;5588;4084;1869;8503;6772;898;3481;890;4145;3791;4843","G1-S Growth factor regulation"
"NDNA damage_MMR repair",-0.339977667634348,0.3,0.669447963800905,"466;11200;5424;6117;5982;5429;10714;5378;5111;4436;4361;3014;11219;580;9156","MMR repair"
"NDNA damage_BER-NER repair",-0.292601911299719,0.3,0.669447963800905,"3978;1642;466;11200;6996;5424;6117;5887;5982;10714;2237;1643;5111;4361;3014;10721;580;5427;55247","BER-NER repair"
"NTranslation_Selenium pathway",-0.301508695956464,0.32,0.695448616252424,"5970;1385;23382;5451;85465;7296;51540;1869;4843","Selenium pathway"
"NDevelopment_Regulation of telomere length",0.405090654467308,0.32,0.695448616252424,"3320","Regulation of telomere length"
"NReproduction_Spermatogenesis, motility and copulation",0.327222460741747,0.32,0.695448616252424,"81629;113746;3305;2130;5156;1644;6885;10863;6909;3315;6660;25876;652;7113;3303;815;6776;81848;8911;7180;9519;655;10420;23118","Spermatogenesis, motility and copulation"
"NProtein folding_Protein folding nucleus",0.426425970781405,0.34,0.717907175886282,"3320","Protein folding nucleus"
"NInflammation_IL-6 signaling",-0.288813328943656,0.34,0.717907175886282,"10971;9021;5777;4794;7534;2885;3716;4791;3572;8503;5265;2266;3569;4843","IL-6 signaling"
"NDevelopment_EMT_Regulation of epithelial-to-mesenchymal transition",-0.23308893511522,0.34,0.717907175886282,"1950;5879;60;7186;7048;7046;4200;2885;3516;3856;5728;3716;58;3554;9846;3572;6772;898;9241;3690;3481;2113;7431;54567;2263;5008;3553;4843;5743","EMT"
"NProtein folding_Response to unfolded proteins",0.375756792999148,0.36,0.729886531820424,"3320;3316;3315;3303;161582","Response to unfolded proteins"
"NRegulation of metabolism_Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration",-0.343425862343966,0.38,0.738147156136758,"2494;6319;57761;5360;3171;2203","Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration"
"NInflammation_IL-13 signaling pathway",-0.329291397305588,0.38,0.738147156136758,"3598;246;6347;4843;6361","IL-13 signaling pathway"
"NTranscription_Nuclear receptors transcriptional regulation",-0.236293082391047,0.4,0.757077064783543,"8204;7189;5469;892;1950;7046;8031;2885;9572;3554;7026;3148;5468;4929;3553;8013","Nuclear receptors transcriptional regulation"
"NSignal transduction_Androgen receptor nuclear signaling",0.348835087908768,0.44,0.783132669265194,"3320;3486;1644;56937;2289;4313;675;5325;6840;9682;3092;857;28992;595;64324;23132;3488;3065;367;57786","Androgen receptor nuclear signaling"
"NSignal transduction_Nitric oxide signaling",-0.293640185199327,0.46,0.797544649135143,"1438;6772;814;3553;4843","Nitric oxide signaling"
"NCytoskeleton_Intermediate filaments",-0.258388895880051,0.48,0.812566250171633,"3875;2010;7277;6812;10383;631;87;7112;7533;60;4001;203068;2885;3856;113457;4644;58;84617;983;3798;7431;10381;347733","Intermediate filaments"
"NCell adhesion_Amyloid proteins",-0.254655310999716,0.48,0.812566250171633,"5879;71;60;203068;2885;113457;65078;8322;58;7855;5063;84617;6424;8573;23037;1280;54567;10381;7476;948;347733;4914","Amyloid proteins"
"NProteolysis_ECM remodeling",0.379949133079766,0.5,0.826119002948271,"80332;2006;6696;1277;3371;4060;9509;140766;9313;4316;1281;10863;5269;2147;5046","ECM remodeling"
"NDNA damage_DBS repair",-0.288850697674656,0.5,0.826119002948271,"3978;11200;6117;79677;7316;7336;2547;7520;5429;2237;5111;4361;2177;3014;59343;8208;7516;3148;5892;5888;8438;4255;146956","DBS repair"
"NTranslation_Regulation of initiation",0.171673972592851,0.5,0.826119002948271,"3667;6885;3315;10000;6655","Regulation of initiation"
"NTranscription_Transcription by RNA polymerase II",0.177933528691661,0.5,0.826119002948271,"8295;9519;6919;2068;905;2648;6621;9441;9969;6877;81857;8148;84246;9862;1387;4331;904;54797;10915;27336;2957;9440;400569;29777;404672;51497;6923;10474;51586;23054;5431;2074;9968;6827;9443;23450;10589;51003;5439;129685;8805;6829;6881;1024;80237","Transcription by RNA polymerase II"
"NTranscription_mRNA processing",0.129290844637903,0.5,0.826119002948271,"11189;6625;8899;10482;8106;8487;6635;3187;6433;6637;51690;9984;728642;55110;51691;6426;23283;5511;29894;6294;11193;6432;10915;6038;84844;9295;23658;10285;1479;27339;11218;83443;3184;9939;10772;10421;10946","mRNA processing"
"NSignal transduction_NOTCH signaling",0.22099616932163,0.52,0.832932311290113,"6194;5159;5156;84667;8326;7474;8076;9148;6655;26508;56034;9794;6300;2535;2273;8626;9924;2066;4133;1855;6199;595;5602;6502;64750;142678;5155;5599;3714;9046;2069;2648;4851;4853;6422;7042","NOTCH signaling"
"NSignal Transduction_TGF-beta, GDF and Activin signaling",-0.217464678255009,0.54,0.845095201827875,"7409;7044;5329;3569;5743","TGF-beta, GDF and Activin signaling"
"NDNA damage_Core",-0.274451268554217,0.56,0.858629523691083,"4683;672;10111;6119;11200;6117;2547;7520;5111;4361;3014","Core"
"NSignal transduction_Androgen receptor signaling cross-talk",-0.267782772838515,0.56,0.858629523691083,"5604;5566;6715;5573;4790;1432;5494;56924;1385;1950;7048;7046;2885;1839;3084;3569","Androgen receptor signaling cross-talk"
