gene	mut	gain	loss
KAT6B	6.45161290322581	0	0
KDR	3.2258064516129	0	0
KLF4	3.2258064516129	0	0
KLF6	3.2258064516129	0	0
KMT2D	19.3548387096774	0	0
KTN1	3.2258064516129	0	0
LCK	3.2258064516129	0	0
LMNA	3.2258064516129	0	0
MAFB	3.2258064516129	0	0
MAP2K2	3.2258064516129	0	0
MAP3K13	3.2258064516129	0	0
MDM4	3.2258064516129	0	0
MECOM	58.0645161290323	0	0
MED12	9.67741935483871	0	0
MEN1	9.67741935483871	0	0
MITF	3.2258064516129	0	0
MLF1	3.2258064516129	0	0
MLLT1	3.2258064516129	0	0
MN1	3.2258064516129	0	0
MSH2	3.2258064516129	0	0
MUC1	58.0645161290323	0	0
MUC16	6.45161290322581	0	0
MUTYH	3.2258064516129	0	0
MYH11	3.2258064516129	0	0
N4BP2	6.45161290322581	0	0
NACA	9.67741935483871	4.83870967741935	0
NCOA1	3.2258064516129	0	0
NCOA4	3.2258064516129	0	0
NCOR2	58.0645161290323	0	0
NF2	3.2258064516129	0	0
NOTCH1	3.2258064516129	0	0
NRAS	3.2258064516129	0	0
NRG1	6.45161290322581	0	0
NUMA1	3.2258064516129	0	0
PABPC1	3.2258064516129	3.2258064516129	0
PAFAH1B2	3.2258064516129	0	0
PALB2	3.2258064516129	0	0
PATZ1	3.2258064516129	0	0
PBRM1	3.2258064516129	0	0
PCM1	9.67741935483871	0	0
PDE4DIP	12.9032258064516	0	0
PDGFRA	3.2258064516129	0	0
PICALM	3.2258064516129	0	0
PIK3CA	9.67741935483871	0	0
PIK3R1	3.2258064516129	0	0
PLCG1	9.67741935483871	0	0
PMS2	6.45161290322581	0	0
POLD1	16.1290322580645	0	0
POLG	6.45161290322581	0	0
POLQ	3.2258064516129	0	0
PPFIBP1	3.2258064516129	0	0
PPM1D	3.2258064516129	0	0
PPP6C	3.2258064516129	0	0
PRCC	3.2258064516129	0	0
PRDM2	3.2258064516129	0	0
PREX2	3.2258064516129	0	0
PRF1	61.2903225806452	0	0
PRKAR1A	3.2258064516129	0	0
PTEN	3.2258064516129	0	0
PTPRB	32.258064516129	0	0
PTPRC	3.2258064516129	0	0
PTPRD	6.45161290322581	0	0
PTPRK	3.2258064516129	0	0
RABEP1	3.2258064516129	0	0
RANBP2	9.67741935483871	0	0
RARA	3.2258064516129	0	0
RBM10	3.2258064516129	0	0
RECQL4	3.2258064516129	0	0
RET	6.45161290322581	0	0
RHOA	6.45161290322581	0	0
RNF213	29.0322580645161	0	0
RNF43	3.2258064516129	0	0
ROBO2	16.1290322580645	0	0
ROS1	45.1612903225806	0	0
SALL4	3.2258064516129	0	0
SDC4	3.2258064516129	0	0
SDHA	3.2258064516129	0	0
SEPT5	3.2258064516129	0	0
SET	3.2258064516129	0	0
SETD2	9.67741935483871	0	0
SF3B1	6.45161290322581	0	0
SFPQ	3.2258064516129	0	0
SHTN1	3.2258064516129	0	0
SIRPA	3.2258064516129	0	0
SMARCA4	9.67741935483871	3.2258064516129	0
SMARCE1	3.2258064516129	0	0
SND1	6.45161290322581	1.61290322580645	0
SNX29	3.2258064516129	0	0
SPECC1	3.2258064516129	0	0
SRC	6.45161290322581	0	0
SS18	3.2258064516129	0	0
SS18L1	3.2258064516129	0	0
STAG1	3.2258064516129	0	0
STAT5B	3.2258064516129	0	0
STRN	3.2258064516129	0	0
SYK	3.2258064516129	0	0
TAL2	3.2258064516129	0	0
TBL1XR1	3.2258064516129	0	0
TBX3	3.2258064516129	0	0
TCF3	25.8064516129032	0	0
TCL1A	9.67741935483871	0	0
TERT	87.0967741935484	0	0
TFG	6.45161290322581	0	0
TFPT	3.2258064516129	3.2258064516129	0
THRAP3	3.2258064516129	0	0
TLX1	3.2258064516129	0	0
TMPRSS2	3.2258064516129	0	0
TNC	6.45161290322581	0	0
TP53	6.45161290322581	0	0
TPR	3.2258064516129	0	0
TRIM27	3.2258064516129	0	0
TRIM33	6.45161290322581	0	0
TRIP11	3.2258064516129	0	0
TSC2	3.2258064516129	0	0
TSHR	3.2258064516129	0	-1.61290322580645
USP44	3.2258064516129	0	0
VAV1	3.2258064516129	0	0
WRN	3.2258064516129	0	0
ZCCHC8	6.45161290322581	0	0
ZMYM3	3.2258064516129	0	0
BCL6	0	4.83870967741935	0
BRCA1	0	1.61290322580645	0
CCNE1	0	1.61290322580645	0
CLP1	0	3.2258064516129	0
CRLF2	0	3.2258064516129	0
CTNNA2	0	0	-4.83870967741935
DDIT3	0	3.2258064516129	0
DNAJB1	0	1.61290322580645	0
EML4	0	1.61290322580645	0
FOXO3	0	1.61290322580645	0
GNAS	0	3.2258064516129	0
GRIN2A	0	0	-9.67741935483871
H3F3B	0	3.2258064516129	0
HNRNPA2B1	0	3.2258064516129	0
JAK2	0	3.2258064516129	0
MET	0	1.61290322580645	0
NFE2L2	0	1.61290322580645	0
NFKBIE	0	1.61290322580645	0
PIM1	0	1.61290322580645	0
PMS1	0	6.45161290322581	0
PTCH1	0	3.2258064516129	0
PWWP2A	0	3.2258064516129	0
RAD21	0	1.61290322580645	0
SMAD2	0	3.2258064516129	0
SRSF2	0	12.9032258064516	0
SRSF3	0	3.2258064516129	0
TRRAP	0	1.61290322580645	0
