"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge"
"NSignal transduction_Androgen receptor nuclear signaling",0.197694951573861,0,0,"5325;672;57786;10865;23411;23028;10499;4193;1499;7110;2353;3065;8648;2580;8204;10513;9001;7430;6715;23054;8031;8202;2149;7050;56937;1387;5728;24148;994;3092;9611;4841;23132;6840;5036;9612;5594;11143;6047;2316;10524;2547;1994"
"NCell adhesion_Cell-matrix interactions",-0.679119274304652,0,0,"3693;3956;375790;2515;7077;11096;7076;8910;4324;4323;2335;1285;3913;3679;1282;3675;10417;7078;633;55576;4316;56999;3694;1634;1307;3371;4060;1289;2201;8082;9509;50509;80781;2192;7373;4314;2202;1281;2697;7130;3910;3929;1290;4327;1277;4313;2006;4059;1280"
"NTransport_Calcium transport",-0.486475265026732,0,0,"22999;6262;492;487;306;1146;5954;773;4308;6546;801;785;9478;8912;9381;779;5311;2159;6543;774;778;846;64094;6279;7442;775;123041;4313;7222"
"NCell adhesion_Platelet-endothelium-leucocyte interactions",-0.535825891628459,0,0,"2815;5627;80310;3553;7040;6347;7450;948;6403;5747;5159;2207;2335;4481;710;3490;1282;4035;7082;1440;2159;1441;7058;1289;7043;1490;1281;1290;2147;1277;4313;2047;1280"
"NTranslation_Elongation-Termination",-0.515332640065696,0,0,"57176;6137;4736;11224;6159;6222;6135;6205;6143;1937;6728;6206;6726;6138;6147;6189;6161;10399;6234;6152;6157;9349;6727;48;6155;6231;6207;1917;6193;6165;6141;6133;6187;6204;6217;6230;7311;6499;6156;6154;6201;6169;23521;6224;6218;6188;6132;6229;6167;6146;6233;6142;6232;6227;25873;6170;6209;6173;6176;3643;6029;6208;6122;3929"
"NTranscription_Transcription by RNA polymerase II",0.271723195376988,0,0,"5450;80237;9150;904;7150;9441;2965;2074;905;123169;7110;54623;8148;9969;23450;79577;27336;5431;9439;2071;23097;9044;9282;23054;2957;9440;6877;10915;6879;1387;2959;9443;8295;6924"
"NImmune response_T helper cell differentiation",0.273108522792764,0,0,"112744;3458;30009;3567;4790;3605;7100;54106;6776;59067;2534;3459;3725;8809;4216;3595;4616;2353;3572;3702;7189;3708;1386;6416;4775;3551;3716;3558;5530;51311;9020;1147;50615;3565;5604;4776;3654;4772;5894;958;7297;864;3937;5588;5594"
"NTranscription_Nuclear receptors transcriptional regulation",0.2308497834565,0,0,"4929;356;1956;154;10499;8013;9572;9975;9971;6655;8648;9994;8148;9969;7189;8204;5431;3656;6258;9282;9063;23054;8031;9440;8202;6877;7068;6879;2908;1387;6654;2959;9443;9321;5469;5604;7536;9611;3654;331;29079;5894;7046;8805;9612;5594;6597;3148;3164"
"NCell cycle_G1-S",0.167991145289477,0,0,"1028;7248;672;26524;10766;4193;8945;3836;5111;8556;4616;2580;29950;1164;3838;1874;3839;1647;7316;2354;3621;84126;6502;993;10950;3840;898;8454"
"NTranscription_mRNA processing",0.311113553362716,0,0,"10978;6432;11218;10482;10189;1655;6434;6732;10212;6294;23450;9295;9984;728642;1478;3187;4670;3185;6428;8732;10594;8899;5725;135295;4686;10915;3192;10772;10492;3178;53981;10291;24148;10946;3190;2926;10421;11052;23451;3181;8570;5356;7536;10657;55660;10285;22913;6733;4841;6625;65110;10262;6433;8559;9128;8487;6607;988;11193"
"NNeurophysiological process_Transmission of nerve impulse",-0.485760157601085,0.02,0.115844660194175,"6717;2741;6014;2905;6326;4131;150;773;11337;5566;5595;8536;801;2901;9478;6323;2775;116444;5575;57468;3778;2916;775;3751"
"NTranslation_Translation in mitochondria",-0.517776086895093,0.02,0.115844660194175,"64983;11222;60488;79590;63875;54948;54534;124995;79587;57176;26589;10102;64432;9801;55157;51642;64963;51258;153527;219927;57129;51073;51253;28957;51649;51373;63931;29088;51264;64981;64960;65993;92259;84545;28998;28977;51069;65008;10352;6183;54460;6182;29074;51318;65003;64951;122704;29093;51650;128308;55173;124454;64928;51021;55052;6150;116541"
"NTranslation_Regulation of initiation",0.204224137388071,0.02,0.115844660194175,"8503;5295;7248;1956;6198;2534;5293;3315;8669;8661;6655;5291;1982"
"NCell adhesion_Platelet aggregation",-0.458806141773226,0.02,0.115844660194175,"7408;2815;112;207;150;7941;8736;7450;948;6403;5566;5747;2781;2207;801;1282;5740;5321;1281;4638;2147;1277;1280"
"NApoptosis_Apoptosis stimulation by external signals",-0.178593259945706,0.02,0.115844660194175,"207;7040;1509;4050;10572;3953;5321;7043;4915"
"NCell adhesion_Glycoconjugates",-0.492162682674826,0.02,0.115844660194175,"8692;627;58;3956;375790;51807;6347;6403;5747;2335;5595;3036;3679;4897;55576;6614;3240;6387;1634;3371;2192;7130;4915;6366;1277;2006;6900"
"NImmune response_TCR signaling",-0.128299041924389,0.02,0.115844660194175,"5603;6464;916;920;3932;29851;598;3265;5609;27040;60;567;597;3604;7334;1445;3984;1072;8907;160;926;5605;7454;915;7311;58;1019;27240;207;6233;917;5595;801;3675;4843;6300;3108"
"NProliferation_Lymphocyte proliferation",0.196014758793416,0.02,0.115844660194175,"5295;3567;4790;6776;59067;6198;3574;2534;5293;3725;8809;4216;3595;10148;6655;2353;5291;836;7006;3708;1439;27102;1386;7852;5580;6416;5294;3551;6654;3716;3558;5530;3587;1147;8440;50615;3565;5604;3615;4772;5894;958;7187;7297;5788;3600;3937;9101;5588;151888;5594"
"NDevelopment_ERK5 in cell proliferation and neuronal survival",0.395640544204784,0.04,0.188424792735886,"6446;5584;3725;4205;2353;4215;1385;4209;10746;65125;5894"
"NDevelopment_Melanocyte development and pigmentation",0.348584500708071,0.04,0.188424792735886,"5295;3815;2982;1499;1385;5170;1855;1387;51176;5604"
"NNeurophysiological process_Corticoliberin signaling",0.34292472698666,0.04,0.188424792735886,"815;4929;10499;1958;2353;8648;157;3708;1385;9095"
"NApoptosis_Anti-apoptosis mediated by external signals via NF-kB",-0.190284469349748,0.04,0.188424792735886,"1438;572;5155;83596;5154;207;5566;5747;332;5159;2335;4609;4843"
"NCell adhesion_Integrin priming",-0.47160278001715,0.04,0.188424792735886,"5747;183;23421;2335;5595;801;3679;1282;816;3675;6387;59;1281;2147;1277;1280"
"NDNA damage_Checkpoint",-0.19199044610838,0.04,0.188424792735886,"55723;11200;63967;5591;580;2177;891;64682;246184;1026;7520;7311;9133;890;25847;1019;1869;6233;5595;9700;4609;983;6300"
"NTranslation_Translation initiation",-0.436469269202756,0.04,0.188424792735886,"3692;6158;6164;8668;6137;4736;11224;6159;6222;8665;6135;6205;6143;6206;1736;6138;6147;6189;6161;10399;6234;6152;6157;9349;6155;6231;6207;6193;55505;6165;6141;6133;6187;27335;6204;6217;1984;6230;7311;1978;6156;6154;6201;6169;23521;6224;6218;6188;6132;6229;6167;6146;6233;6142;6232;6227;25873;6170;6209;6173;6176;6208;6122;3929"
"NImmune response_Innate immune response to RNA viral infection ",0.190821402805773,0.0600000000000001,0.243593058863559,"4790;3659;54472;3725;29110;7189;11213;11035;841;1387;3551;3716;51311;9020;3627;8737;1147;3565;3654;6041;7187"
"NSignal transduction_Nitric oxide signaling",0.18969285516125,0.0600000000000001,0.243593058863559,"815;5295;3458;4790;2982;5293;2353;5291;7422;836;1385;1386;4170;841;5170"
"NTransport_Manganese transport",-0.461874358099237,0.06,0.243593058863559,"7408;22843;4199;6506;162466;27343;6556;6546;8654;3906;26229;383;7512;6543;8532;3240;6507;5313"
"NDNA damage_DBS repair",0.163722326839835,0.0600000000000001,0.243593058863559,"672;7150;23411;5111;11044;59343;3065;10635;3981;5429;7316;6118;84126;5520;3014"
"NProteolysis_Ubiquitin-proteasomal proteolysis",-0.190948939004199,0.0600000000000001,0.243593058863559,"5720;7334;5714;5689;55611;6921;5695;580;5683;5690;5696;5688;23640;196403;55559;997;5687;5698;7311;7325;5721;5693;8405;9978;6923;6233;5692;5699;5716;5691;11065;5694;7345"
"NDevelopment_Regulation of angiogenesis",-0.415953128926199,0.06,0.243593058863559,"290;3553;207;6347;3552;4323;183;51129;1285;3554;5595;3679;4609;3579;6678;2043;4843;7082;3953;633;1942;2737;1490;2697;4915;4313;2047;7490;1909"
"NCell adhesion_Integrin-mediated cell-matrix adhesion",-0.408437051282104,0.06,0.243593058863559,"10211;58;3693;3956;7408;3985;207;51807;7103;7052;2319;5747;2335;5595;3679;1282;4609;10395;6678;3675;857;3694;1634;3371;10631;7373;1281;54751;858;3910;4638;1277;55742;1280"
"NTranslation_Selenium pathway",-0.522924363770033,0.08,0.28502836667662,"1869;6403;2879;1735;2876;51734;6414;4843;140606;2878;2877"
"NDNA damage_BER-NER repair",-0.166692419826835,0.0800000000000001,0.28502836667662,"6996;54107;10714;2966;9656;7374;5886;3364;27301;56949;7507;5428;64210;10038;11232;5983;5982;56655;1161;5985;4595;10721;4968;7515;5984;11200;5425;79661;580;5427;57804;5424;4913;1643;27343;6119;23583;404672"
"NInflammation_Inflammasome",-0.168030379730195,0.0800000000000001,0.28502836667662,"3553;29108;3554;5595;633;6300;90865"
"NApoptosis_Death Domain receptors & caspases in apoptosis",0.157738082672929,0.0800000000000001,0.28502836667662,"356;695;10114;317;5663;3002;7185;9994;330;836;728642;10116;58484;27141;8743;841;5757;22985;8887;10293;23087;331;958;7187;329;57448;27018;23429;8477;959;4217;8915;1612;10392"
"NReproduction_Feeding and Neurohormone signaling ",-0.405003991975375,0.08,0.28502836667662,"3553;207;7040;2491;1509;5566;5747;5595;801;4609;3675;3479;3906;2775;1373;3590;64506;7043;283869;3486;775;3910;5744;5618;2118"
"NSignal transduction_NOTCH signaling",-0.22357797634072,0.0800000000000001,0.28502836667662,"1026;2535;7311;1978;5154;6015;7088;80310;207;7040;1869;6233;5159;5595;4609;7475;4843;8626;6422;6300;8076;7043;9915;768"
"NDevelopment_Neurogenesis_Axonal guidance",-0.401886251753674,0.08,0.28502836667662,"1808;7311;627;10755;58;2041;7408;6262;3985;51807;10787;6237;6403;5566;5747;56288;23654;84152;801;6285;4897;2043;6414;10417;6383;1942;6586;1826;10371;55811;775;348;4915;1630;5125;5649;2047;6900"
"NDevelopment_Cartilage development",-0.499008011240339,0.1,0.326546250684182,"2335;657;7043;1281;652;1277;4256;1280"
"NDNA damage_MMR repair",0.219985833464358,0.1,0.326546250684182,"5378;672;11201;5980;5111;5429;6118;84126;3014;7158;4436;27030;4437;466;10111"
"NSignal transduction_ESR1-membrane pathway",0.20346341030391,0.1,0.326546250684182,"8503;5295;111;1956;2353;8648;1385;10672;113;2065;8202;5170;1387;5582;3480;5604;9611;5894"
"NDevelopment_Neurogenesis_Synaptogenesis",-0.427769269080182,0.1,0.326546250684182,"9341;627;58;375790;2905;22999;54510;5121;9240;10497;145957;773;8673;801;4035;6861;9378;6334;321;774;6855;7058;8927;348;4915;2047"
"NCell cycle_S phase",-0.197453737818428,0.1,0.326546250684182,"11200;8208;5425;7011;891;23595;64682;699;999;5427;57804;1026;7311;5424;9133;890;7015;3005;5347;1869;6233;5566;6119;3009;9700;983"
"NApoptosis_Anti-Apoptosis mediated by external signals via MAPK and JAK/STAT",-0.195085718214811,0.1,0.326546250684182,"5154;56616;135;80310;112;5566;332;5159;4609;2057;983;2775;5176;5618"
"NInflammation_Neutrophil activation",-0.211414937565009,0.1,0.326546250684182,"301;81579;1241;58;3985;112;207;728;6347;26279;6403;5595;5465;1535;5337;4353;3579;4843;6300;240;5321"
"NCell cycle_Mitosis",-0.20444328849738,0.1,0.326546250684182,"50855;7515;10540;9735;10393;259266;83540;60;9212;10671;1398;22933;79980;11258;10376;10362;891;3835;64682;699;11335;25936;10300;7311;991;4085;58;6993;9133;22974;25847;7272;3005;57082;5347;5300;51807;11243;6233;332;1759;1063;9700;983;26052"
"NSignal transduction_ESR1-nuclear pathway",-0.235730851713136,0.1,0.326546250684182,"112;207;6233;1509;5566;9112;23421;2286;2647;4201;4609;3479;857;4843;3880;3293;1826;6387;6623;5618;7490"
"NNeurophysiological process_Taste signaling",0.427278586393546,0.12,0.361941354903944,"80835"
"NSignal transduction_Androgen receptor signaling cross-talk",0.22760431451422,0.12,0.361941354903944,"5295;1956;4790;154;4193;6198;1499"
"NSignal transduction_ESR2 pathway",-0.209429684265798,0.12,0.361941354903944,"5605;27043;29893;7311;207;6233;2950;948;801;4846;3643;3880"
"NCytoskeleton_Macropinocytosis and its regulation",-0.180041946247409,0.12,0.361941354903944,"5333;3984;1072;10376;51479;1487;7454;5155;1436;5216;83547;207;51807;5747;5159;83871;3953"
"NDevelopment_Hemopoiesis, Erythropoietin pathway",-0.216675486956239,0.12,0.361941354903944,"5595;801;4609;2057;4843;6300;7222"
"NCytoskeleton_Regulation of cytoskeleton rearrangement",-0.219054946346505,0.12,0.361941354903944,"6710;57381;5347;51807;1894;150;8910;5747;121512;56288;5595;6712;1674;10395;2775;6387;1264;4638"
"NImmune response_IL-5 signalling",0.310558610028229,0.14,0.392131455399061,"5295;3567;695;6776;3725;5781;2353;1439;5580;5170;1399;3716;5604;5292;4067;5894;596"
"NInflammation_Kallikrein-kinin system",-0.415183422628139,0.14,0.392131455399061,"7450;773;5747;2152;5595;710;4846;9536;3816;4843;7512;2159;5740;6300;5321;2162;1636;2147"
"NDevelopment_Hedgehog signaling",-0.219697720387697,0.14,0.392131455399061,"1026;2535;7311;4487;27148;7850;207;8405;9978;6233;655;5566;4294;2781;5595;4609;3623;9479;2775;8626;4192;2737;407;5087;652;5744"
"NDNA damage_Core",0.269132211164226,0.16,0.424437527790129,"672;5111;6118;84126;3014;5884;7158;10111;5810"
"NSignal transduction_Oxytocin signaling",-0.531387714282274,0.16,0.424437527790129,"801;4846;9536;4843;5321;775"
"NProtein folding_ER and cytoplasm",0.221977902067421,0.16,0.424437527790129,"3309;22926;3065;3312;7415;1047;11231;3303;10525;55176;351;9695;821;51182;3831;5611;811"
"NImmune response_Th17-derived cytokines",-0.432268718594217,0.16,0.424437527790129,"3553;1052;207;6347;7076;6373;4609;9536;4843;1440;6387;3934;4314;6279;6280;6354"
"NCell cycle_Core",-0.21436433512197,0.16,0.424437527790129,"891;3835;23595;64682;699;999;1026;991;4085;9133;1019;5347;1869;332;6119;1030;9700;983"
"NCardiac development_BMP_TGF_beta_signaling",-0.429123184494864,0.18,0.452064828457167,"2997;4487;2257;55553;7040;1869;84525;2931;25776;655;27302;8854;657;4633;2737;7043;775;4629;652"
"NInflammation_NK cell cytotoxicity",-0.218506142980552,0.2,0.477662129703763,"259197;10870;5595;801;7305;4843;2214;5521;2205"
"NInflammation_Histamine signaling",-0.383036599808852,0.2,0.477662129703763,"3985;3553;112;6347;26279;6403;5566;2977;5322;5595;3596;801;4846;1535;816;5337;9536;4881;4843;5740;6300;240;4056;5321;3067"
"NApoptosis_Apoptotic nucleus",-0.251322054711223,0.2,0.477662129703763,"4605;3001;11315;1026;7520;56616;3005;4830;1869;57060;23421;1285;3009;9700;9616;239;4843;8626;84883;3486;2147"
"NAutophagy_Autophagy",0.164902399778246,0.22,0.503749760122817,"5295;7100;22863;54106"
"NTransport_Synaptic vesicle exocytosis",-0.411025899071223,0.22,0.503749760122817,"9341;9545;307;9899;22999;5864;6506;10497;9501;1759;8673;6712;23504;94121;22987;6861;321;6532;8927;6507"
"NReproduction_Progesterone signaling",-0.222251045778399,0.24,0.524099560761347,"991;4085;9133;890;5347;164091;207;51807;3290;5566;1759;2335;5595;801;4609;3479;983;4843;64506;4313"
"NNeurophysiological process_Olfactory transduction",0.500190731594487,0.26,0.547532650900106,"815"
"NTransport_Sodium transport",-0.419162154570287,0.26,0.547532650900106,"6559;55089;64849;6546;55800;6323;486;6334;5652;6543;6532;358;477;6507;7442;123041;7222"
"NCardiac development_Role of NADPH oxidase and ROS",-0.227634462977984,0.26,0.547532650900106,"2997;4487;207;1869;84525;2931;5747;5595;8854;1535;4843;2737;2697"
"NDevelopment_Ossification and bone remodeling",-0.396203318099766,0.26,0.547532650900106,"3623;657;6678;1009;3479;165;7043;846;10631;3487;652;5744;1277;1280"
"NCytoskeleton_Cytoplasmic microtubules",-0.23588301371098,0.26,0.547532650900106,"51807;402;5201;10126;3798;4294;85378;22983;983;83544;8626;4281"
"NTransport_Bile acids transport and its regulation",-0.530478329792343,0.28,0.564351351351351,"2052;8647;948;1244;28234;200931;221357"
"NInflammation_IL-6 signaling",-0.223129733760464,0.28,0.564351351351351,"2335;5595;10000;4609;4843;3240;3929"
"NProteolysis_Proteolysis in cell cycle and apoptosis",-0.392184852088624,0.28,0.564351351351351,"1520;26235;891;10980;64682;246184;4738;999;26270;3001;823;50813;26273;1512;991;25847;55851;9978;64129;1509;11065;9985;26232;23621;9040;9700;983;1513"
"NProliferation_Negative regulation of cell proliferation",-0.373510932956045,0.28,0.564351351351351,"3553;4830;7040;7077;3552;199;1030;3554;5008;3490;4609;10457;3479;8519;3488;7043;80781;3486;3487;3485;9180;5744;3489"
"NSignal Transduction_BMP and GDF signaling",-0.426480929574482,0.3,0.581009576367473,"90;6696;5524;4904;9500;1026;4487;1019;7088;207;655;4609;657;3479;10272;5654;652;1280"
"NInflammation_Innate inflammatory response",-0.392145604540748,0.3,0.581009576367473,"3553;728;719;3552;23643;773;2152;3554;6373;729;10333;9536;4843;6300;720;5321;8993;775;3929"
"NImmune response_Phagosome in antigen presentation",-0.264388471063588,0.3,0.581009576367473,"5216;5687;5698;5721;5693;6892;58;7408;207;10952;5692;5691;5694;2207;2335;23480;2209;4035;9478;4023;4843;2214;6300;3108;3929;2206;2205"
"NInflammation_IL-4 signaling",-0.258240868788781,0.32,0.599033573893944,"290;207;7040;6347;5595;3596;6373;1440;3108;6369;2206;2205"
"NProtein folding_Folding in normal condition",-0.230281916598135,0.32,0.599033573893944,"23770;5201;5204;10471;3299;1410;9536;60681;8626;3108;26353"
"NRegulation of metabolism_Bile acid regulation of lipid metabolism and negative FXR-dependent regulation of bile acids concentration",-0.457624649787343,0.34,0.618426829268293,"5360;4199;207;2931;5465;3643;2203;348"
"NInflammation_IgE signaling",-0.388807566540099,0.38,0.64607580507267,"207;6347;773;2207;5595;3596;801;9536;4843;5740;240;4056;5321;2206;2205"
"NCell adhesion_Leucocyte chemotaxis",-0.277816471367289,0.38,0.64607580507267,"1232;51807;6347;5747;5595;10563;801;6373;816;3579;6361;3108;6387;6369;6366;6354"
"NCell cycle_Meiosis",-0.245561113163468,0.4,0.663903185422173,"7311;991;5347;207;51807;6233;11144;9985;56288;9700;4609;10388;983;4438"
"NCell adhesion_Amyloid proteins",-0.362073292670258,0.4,0.663903185422173,"1501;58;375790;682;5300;55851;3985;51807;23037;25825;57524;1509;948;5747;23621;2335;5595;1282;9378;7475;2775;857;321;2697;2147;1277;1280"
"NDevelopment_Blood vessel morphogenesis",-0.367464691717866,0.4,0.663903185422173,"7015;135;9429;3553;207;150;3552;51129;2335;5595;5152;4846;4609;2057;285;4881;3816;4843;3240;6387;1490;4435;80781;5176;652;4327;1909"
"NCell cycle_G2-M",-0.260967254968105,0.4,0.663903185422173,"10907;10627;80279;11200;63967;2177;891;3835;64682;5605;699;246184;4738;5155;997;1026;7311;991;4085;5154;9133;890;25847;3005;5347;207;6233;5566;11065;1759;5159;5595;3009;10000;4609;3479;983;8626;10398;6300"
"NCytoskeleton_Intermediate filaments",-0.394028192539954,0.42,0.68173581825602,"58;3875;51807;3798;5318;1674;983;3852;3880;3856;3861;3872"
"NInflammation_Jak-STAT Pathway",-0.361211877946328,0.42,0.68173581825602,"80310;207;6347;183;5159;5595;3596;5008;133396;2057;3643;3479;3590;1440;3953;1441;6387;9180;1636;5618"
"NCell cycle_G0-G1",-0.408249181256601,0.44,0.695374834437086,"64682;1487;999;1026;1019;3005;1869;1030;10634;5465;983;50486;5618;7490"
"NCell cycle_G1-S Growth factor regulation",-0.265139189392574,0.44,0.695374834437086,"5154;890;1019;4830;207;7040;1869;2931;5747;1030;5595;10000;4609;3623;3479;4843;4054;685;7043;5521;2147"
"NInflammation_IL-10 anti-inflammatory response",-0.287153781979172,0.48,0.725993155025985,"890;3553;207;10922;3552;7076;5747;54210;4609;4843;6300;4313"
"NInflammation_Protein C signaling",-0.271472183050652,0.48,0.725993155025985,"58;5627;3985;3553;207;3552;5747;2152;5595;4843;2159;2147"
"NNeurophysiological process_Long-term potentiation",-0.277346455149966,0.5,0.744075829383886,"1978;627;6262;207;5566;5595;801;4846"
"NCardiac development_FGF_ErbB signaling",-0.372169221005074,0.5,0.744075829383886,"2257;55553;1489;207;1869;5747;5318;5595;2057;4633;2737;4629;3751;1909"
"NSignal transduction_Neuropeptide signaling pathways",-0.241825035027463,0.52,0.756386687797147,"5566;5595;801;283869;23266"
"NInflammation_TREM1 signaling",-0.286535927580983,0.52,0.756386687797147,"3553;207;6347;7076;23643;3554;5595;10000;7305;54210;4353;4316;6300;54209;6354"
"NDevelopment_EMT_Regulation of epithelial-to-mesenchymal transition",-0.352001563081085,0.52,0.756386687797147,"1978;800;58;5154;3875;80310;3985;3553;207;7040;7168;655;5747;5159;2335;3554;5008;1535;1674;4843;7082;59;7043;3856;1281;652;1277;4313;1909"
"NNeurophysiological process_Melatonin signaling",-0.479666224009549,0.54,0.767696890265698,"5566;801;240;3778"
"NReproduction_Gonadotropin regulation",-0.355207919583791,0.54,0.767696890265698,"4131;3553;207;5566;1759;3554;5595;8536;801;9536;4843;3953;5740;5321;775;652"
"NImmune response_Antigen presentation",-0.282246537791318,0.58,0.790740402193784,"5720;5714;3122;5689;2217;1520;10437;5695;3133;5683;8302;5690;5688;926;3824;915;5687;1176;5698;5721;5693;6892;10952;5692;917;5716;5691;5694;2207;23480;2209;4843;3108;30835;2205"
"NCell adhesion_Attractive and repulsive receptors",-0.338956609014078,0.6,0.804494887065963,"1808;10755;58;3956;2041;3985;51807;25791;6237;5566;5747;23654;2335;1282;4897;2043;9378;29984;1942;6586;10371;8997;7373;1630;1277;2047"
"NApoptosis_Anti-Apoptosis mediated by external signals via PI3K/AKT",-0.339534984012576,0.62,0.816989508558807,"5566;5747;332;10870;5159;2335;1282;7305;4846;54210;3579;3643;3675;3479;2775;4843;638;4915;5176;1277;5618;1280"
"NProliferation_Positive regulation cell proliferation",-0.332875481031486,0.62,0.816989508558807,"246;1489;3985;1232;207;150;5764;7076;5566;5595;4609;133396;3579;3479;2817;238;3590;1440;1441;5575;685;80781;4638;6886;1909"
"NMuscle contraction_Relaxin signaling",-0.376574255567001,0.64,0.830142406783346,"59350;3553;112;207;5566;4846;2775;4843;117579;2201;4313"
"NCell adhesion_Synaptic contact",-0.36020508522907,0.64,0.830142406783346,"816;2901;6861;9378;4843;7082;6383;1942;8997;2047;6900"
"NInflammation_Amphoterin signaling",-0.287021405245241,0.64,0.830142406783346,"10627;3984;3593;1072;4318;3569;3557;5605;7454;7097;177;58;3985;3553;207;6347;3552;4323;5595;6271;10000;6285;4843;6300;6279;6280"
"NSignal Transduction_Cholecystokinin signaling",-0.267267964094431,0.66,0.846059303824667,"1232;207;6237;5566;5747;8986;8536;801;4609;5125"
"NSignal Transduction_TGF-beta, GDF and Activin signaling",-0.297247490651331,0.66,0.846059303824667,"5747;1030;801;4609;3623;2057;3479;5796;4054;10272;7043;2122;7044;5654"
"NNeurophysiological process_GABAergic neurotransmission",-0.291826677283361,0.68,0.852196197878374,"10376;23025;160;2868;5499;18;9056;6391;22809;22999;112;51807;773;11337;1759;801;3762;2775;774"
"NReproduction_GnRH signaling pathway",-0.373995773974044,0.68,0.852196197878374,"4131;3553;207;773;5566;3554;5595;8536;801;9536;4843;3953;5740;5321"
