TumorIDnew,Fraction,Batch,Cohort,Treatment,Growth,CD8Frac,TumSize,Time.NMU2Sac,Age.Injection,GrowthRate,Size,RatNo,TumorNumber,Tissue,fastq,fastq2
P26T2,Ep,3,Immunotherapy,PDL1,NA,0.067064099,12,98,32-36,NA,,P26,2,Tumor,P26T2_Ep_001.fastq.gz,P26T2_Ep_002.fastq.gz
P27T1,CD45,3,Immunotherapy,PDL1,growing,0.152177739,25,112,32-36,3.785714286,,P27,1,Tumor,P27T1_CD45_001.fastq.gz,P27T1_CD45_002.fastq.gz
P27T1,DN,3,Immunotherapy,PDL1,growing,0.152177739,25,112,32-36,3.785714286,,P27,1,Tumor,P27T1_DN_001.fastq.gz,P27T1_DN_002.fastq.gz
P27T1,Ep,3,Immunotherapy,PDL1,growing,0.152177739,25,112,32-36,3.785714286,,P27,1,Tumor,P27T1_Ep_001.fastq.gz,P27T1_Ep_002.fastq.gz
P28T1,CD45,2,Immunotherapy,PDL1,stable,0.380067171,3,127,32-36,0.106557377,,P28,1,Tumor,P28T1_CD45_001.fastq.gz,
P28T1,Ep,2,Immunotherapy,PDL1,stable,0.380067171,3,127,32-36,0.106557377,,P28,1,Tumor,P28T1_Ep_001.fastq.gz,
P29T1,CD45,3,Immunotherapy,PDL1,growing,0.050418604,19,112,32-36,2.678571429,,P29,1,Tumor,P29T1_CD45_001.fastq.gz,P29T1_CD45_002.fastq.gz
P29T1,DN,3,Immunotherapy,PDL1,growing,0.050418604,19,112,32-36,2.678571429,,P29,1,Tumor,P29T1_DN_001.fastq.gz,P29T1_DN_002.fastq.gz
P29T1,Ep,3,Immunotherapy,PDL1,growing,0.050418604,19,112,32-36,2.678571429,,P29,1,Tumor,P29T1_Ep_001.fastq.gz,P29T1_Ep_002.fastq.gz
P29T2,CD45,2,Immunotherapy,PDL1,growing,0.022445242,25,112,32-36,3.642857143,,P29,2,Tumor,P29T2_CD45_001.fastq.gz,
P29T2,DN,2,Immunotherapy,PDL1,growing,0.022445242,25,112,32-36,3.642857143,,P29,2,Tumor,P29T2_DN_001.fastq.gz,
P29T2,Ep,2,Immunotherapy,PDL1,growing,0.022445242,25,112,32-36,3.642857143,,P29,2,Tumor,P29T2_Ep_001.fastq.gz,
P30T2,DN,2,Immunotherapy,PDL1,stable,0.022369256,6,127,32-36,0.77027027,,P30,2,Tumor,P30T2_DN_001.fastq.gz,
P30T2,Ep,2,Immunotherapy,PDL1,stable,0.022369256,6,127,32-36,0.77027027,,P30,2,Tumor,P30T2_Ep_001.fastq.gz,
P31T1,CD45,2,Immunotherapy,PDL1+LY,growing,0.106152005,23,79,32-36,3.315068493,,P31,1,Tumor,P31T1_CD45_001.fastq.gz,
P31T2,CD45,2,Immunotherapy,PDL1+LY,stable,0.054129798,6,79,32-36,0.55952381,,P31,2,Tumor,P31T2_CD45_001.fastq.gz,
P31T2,DN,2,Immunotherapy,PDL1+LY,stable,0.054129798,6,79,32-36,0.55952381,,P31,2,Tumor,P31T2_DN_001.fastq.gz,
P31T2,Ep,2,Immunotherapy,PDL1+LY,stable,0.054129798,6,79,32-36,0.55952381,,P31,2,Tumor,P31T2_Ep_001.fastq.gz,
P31T3,CD45,2,Immunotherapy,PDL1+LY,stable,NA,5,79,32-36,0.762162162,,P31,3,Tumor,P31T3_CD45_001.fastq.gz,
P31T3,DN,2,Immunotherapy,PDL1+LY,stable,NA,5,79,32-36,0.762162162,,P31,3,Tumor,P31T3_DN_001.fastq.gz,
P31T3,Ep,2,Immunotherapy,PDL1+LY,stable,NA,5,79,32-36,0.762162162,,P31,3,Tumor,P31T3_Ep_001.fastq.gz,
P32T1,DN,2,Immunotherapy,PDL1+LY,growing,NA,35,98,32-36,4.329896907,,P32,1,Tumor,P32T1_DN_001.fastq.gz,
P32T1,Ep,2,Immunotherapy,PDL1+LY,growing,NA,35,98,32-36,4.329896907,,P32,1,Tumor,P32T1_Ep_001.fastq.gz,
P33T1,CD45,3,Immunotherapy,PDL1+LY,growing,0.01296122,10,79,32-36,3.5,,P33,1,Tumor,P33T1_CD45_001.fastq.gz,P33T1_CD45_002.fastq.gz
P33T1,DN,3,Immunotherapy,PDL1+LY,growing,0.01296122,10,79,32-36,3.5,,P33,1,Tumor,P33T1_DN_001.fastq.gz,P33T1_DN_002.fastq.gz
P34T1,CD45,2,Immunotherapy,PDL1+LY,growing,NA,30,112,32-36,5.714285714,,P34,1,Tumor,P34T1_CD45_001.fastq.gz,
P34T1,DN,2,Immunotherapy,PDL1+LY,growing,NA,30,112,32-36,5.714285714,,P34,1,Tumor,P34T1_DN_001.fastq.gz,
P34T1,Ep,2,Immunotherapy,PDL1+LY,growing,NA,30,112,32-36,5.714285714,,P34,1,Tumor,P34T1_Ep_001.fastq.gz,
P35T1,CD45,3,Immunotherapy,PDL1+LY,growing,0.032831235,17,112,32-36,3.5,,P35,1,Tumor,P35T1_CD45_001.fastq.gz,P35T1_CD45_002.fastq.gz
P36T2,DN,2,Immunotherapy,PDL1+LY,stable,0.047692612,7,163,32-36,0.647540984,,P36,2,Tumor,P36T2_DN_001.fastq.gz,
P36T2,Ep,2,Immunotherapy,PDL1+LY,stable,0.047692612,7,163,32-36,0.647540984,,P36,2,Tumor,P36T2_Ep_001.fastq.gz,
P36T3,CD45,3,Immunotherapy,PDL1+LY,stable,0.031616767,24,163,32-36,1.915178571,,P36,3,Tumor,P36T3_CD45_001.fastq.gz,P36T3_CD45_002.fastq.gz
P36T3,DN,3,Immunotherapy,PDL1+LY,stable,0.031616767,24,163,32-36,1.915178571,,P36,3,Tumor,P36T3_DN_001.fastq.gz,P36T3_DN_002.fastq.gz
P38T2,DN,3,Immunotherapy,PDL1,stable,0.030648594,3,183,32-36,-0.102739726,,P38,2,Tumor,P38T2_DN_001.fastq.gz,P38T2_DN_002.fastq.gz
P39T1,CD45,3,Immunotherapy,Vehicle,growing,0.047268702,28,169,32-36,6.8,,P39,1,Tumor,P39T1_CD45_001.fastq.gz,P39T1_CD45_002.fastq.gz
P39T1,DN,3,Immunotherapy,Vehicle,growing,0.047268702,28,169,32-36,6.8,,P39,1,Tumor,P39T1_DN_001.fastq.gz,P39T1_DN_002.fastq.gz
P39T3,DN,2,Immunotherapy,Vehicle,stable,0.11152672,4,169,32-36,-0.384615385,,P39,3,Tumor,P39T3_DN_001.fastq.gz,
P39T3,Ep,2,Immunotherapy,Vehicle,stable,0.11152672,4,169,32-36,-0.384615385,,P39,3,Tumor,P39T3_Ep_001.fastq.gz,
P4T1,CD45,2,Immunotherapy,Vehicle,growing,0.030104097,47,77,32-36,11.7,,P4,1,Tumor,P4T1_CD45_001.fastq.gz,
P4T1,DN,2,Immunotherapy,Vehicle,growing,0.030104097,47,77,32-36,11.7,,P4,1,Tumor,P4T1_DN_001.fastq.gz,
P4T1,Ep,2,Immunotherapy,Vehicle,growing,0.030104097,47,77,32-36,11.7,,P4,1,Tumor,P4T1_Ep_001.fastq.gz,
P5T1,CD45,3,Immunotherapy,Vehicle,growing,0.085819175,20,84,32-36,3.542857143,,P5,1,Tumor,P5T1_CD45_001.fastq.gz,P5T1_CD45_002.fastq.gz
P5T1,DN,3,Immunotherapy,Vehicle,growing,0.085819175,20,84,32-36,3.542857143,,P5,1,Tumor,P5T1_DN_001.fastq.gz,P5T1_DN_002.fastq.gz
P5T2,CD45,3,Immunotherapy,Vehicle,growing,NA,15,84,32-36,15,,P5,2,Tumor,P5T2_CD45_001.fastq.gz,P5T2_CD45_002.fastq.gz
P5T2,DN,3,Immunotherapy,Vehicle,growing,NA,15,84,32-36,15,,P5,2,Tumor,P5T2_DN_001.fastq.gz,P5T2_DN_002.fastq.gz
P5T3,CD45,3,Immunotherapy,Vehicle,growing,0.074219478,20,84,32-36,20,,P5,3,Tumor,P5T3_CD45_001.fastq.gz,P5T3_CD45_002.fastq.gz
P6T1,CD45,3,Immunotherapy,Vehicle,growing,0.053124641,12,84,32-36,3,,P6,1,Tumor,P6T1_CD45_001.fastq.gz,P6T1_CD45_002.fastq.gz
P6T1,DN,3,Immunotherapy,Vehicle,growing,0.053124641,12,84,32-36,3,,P6,1,Tumor,P6T1_DN_001.fastq.gz,P6T1_DN_002.fastq.gz
P6T2,CD45,2,Immunotherapy,Vehicle,growing,NA,30,84,32-36,5.8,,P6,2,Tumor,P6T2_CD45_001.fastq.gz,
P6T2,DN,2,Immunotherapy,Vehicle,growing,NA,30,84,32-36,5.8,,P6,2,Tumor,P6T2_DN_001.fastq.gz,
P7T1,CD45,2,Immunotherapy,Vehicle,stable,0.276829918,6,127,32-36,0.024590164,,P7,1,Tumor,P7T1_CD45_001.fastq.gz,
P7T1,DN,2,Immunotherapy,Vehicle,stable,0.276829918,6,127,32-36,0.024590164,,P7,1,Tumor,P7T1_DN_001.fastq.gz,
P7T1,Ep,2,Immunotherapy,Vehicle,stable,0.276829918,6,127,32-36,0.024590164,,P7,1,Tumor,P7T1_Ep_001.fastq.gz,
P8T1,CD45,3,Immunotherapy,Vehicle,growing,0.026655358,35,84,32-36,7.685714286,,P8,1,Tumor,P8T1_CD45_001.fastq.gz,P8T1_CD45_002.fastq.gz
P8T1,DN,3,Immunotherapy,Vehicle,growing,0.026655358,35,84,32-36,7.685714286,,P8,1,Tumor,P8T1_DN_001.fastq.gz,P8T1_DN_002.fastq.gz
P8T2,CD45,2,Immunotherapy,Vehicle,growing,0.023213931,32,84,32-36,5.542857143,,P8,2,Tumor,P8T2_CD45_001.fastq.gz,
P8T2,DN,2,Immunotherapy,Vehicle,growing,0.023213931,32,84,32-36,5.542857143,,P8,2,Tumor,P8T2_DN_001.fastq.gz,
P8T2,Ep,2,Immunotherapy,Vehicle,growing,0.023213931,32,84,32-36,5.542857143,,P8,2,Tumor,P8T2_Ep_001.fastq.gz,
MGC2,CD45,1,Control,,,,,,,,,C2,,Mammary Gland,MGC2_CD45_001.fastq.gz,
MGC3,CD45,1,Control,,,,,,,,,C3,,Mammary Gland,MGC3_CD45_001.fastq.gz,
MGC5,CD45,1,Control,,,,,,,,,C5,,Mammary Gland,MGC5_CD45_001.fastq.gz,
MGC6,CD45,1,Control,,,,,,,,,C6,,Mammary Gland,MGC6_CD45_001.fastq.gz,
MGC7,CD45,1,Control,,,,,,,,,C7,,Mammary Gland,MGC7_CD45_001.fastq.gz,
MGC8,CD45,1,Control,,,,,,,,,C8,,Mammary Gland,MGC8_CD45_001.fastq.gz,
MGC9,CD45,1,Control,,,,,,,,,C9,,Mammary Gland,MGC9_CD45_001.fastq.gz,
