Time (Week),2RA,2RC,2RD,2N,3NB,3ND,3LD,3LA,3RC,3RB,5LA,5LB,5LC,5LD,5RB,5NA,17RB,17ND,17NA,4LB,4RB,4RC,4NC,4ND,13NA,6ND,7LC,6LDL,6LDU,6RB,6RC,6RD,7LD,7RD,7RA,7RB,7ND,7NB,7NA,7NC,8LD,8RCU,8RCL,10LB,10LD,10LC,10RBL,10ND,11LB,11RD,11RC,11ND,12LD,16RD,16RC,16ND,14LA,14LB,14LC,14LD,14RD,14RB,14NC,14ND,14NB,15LB,15RD,15ND,15NC-D,15NC,16LD,1RB,1ND,1LA,1NA,9LB,9LA,16LC
11,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,0,8,,,,,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,12,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,0,8,,,,,30,40,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,0,10,,,,,,,,,,,,,,0,,,,,,,,20,1,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,1,,,,,,,,25,1,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
16,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,0,15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,17,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
